,PseudoTime
C0,0
C1,1
C2,2
C3,3
C4,4
C5,5
C6,6
C7,7
C8,8
C9,9
C10,10
C11,11
C12,12
C13,13
C14,14
C15,15
C16,16
C17,17
C18,18
C19,19
C20,20
C21,21
C22,22
C23,23
C24,24
C25,25
C26,26
C27,27
C28,28
C29,29
C30,30
C31,31
C32,32
C33,33
C34,34
C35,35
C36,36
C37,37
C38,38
C39,39
C40,40
C41,41
C42,42
C43,43
C44,44
C45,45
C46,46
C47,47
C48,48
C49,49
C50,50
C51,51
C52,52
C53,53
C54,54
C55,55
C56,56
C57,57
C58,58
C59,59
C60,60
C61,61
C62,62
C63,63
C64,64
C65,65
C66,66
C67,67
C68,68
C69,69
C70,70
C71,71
C72,72
C73,73
C74,74
C75,75
C76,76
C77,77
C78,78
C79,79
C80,80
C81,81
C82,82
C83,83
C84,84
C85,85
C86,86
C87,87
C88,88
C89,89
C90,90
C91,91
C92,92
C93,93
C94,94
C95,95
C96,96
C97,97
C98,98
C99,99
C100,100
C101,101
C102,102
C103,103
C104,104
C105,105
C106,106
C107,107
C108,108
C109,109
C110,110
C111,111
C112,112
C113,113
C114,114
C115,115
C116,116
C117,117
C118,118
C119,119
C120,120
C121,121
C122,122
C123,123
C124,124
C125,125
C126,126
C127,127
C128,128
C129,129
C130,130
C131,131
C132,132
C133,133
C134,134
C135,135
C136,136
C137,137
C138,138
C139,139
C140,140
C141,141
C142,142
C143,143
C144,144
C145,145
C146,146
C147,147
C148,148
C149,149
C150,150
C151,151
C152,152
C153,153
C154,154
C155,155
C156,156
C157,157
C158,158
C159,159
C160,160
C161,161
C162,162
C163,163
C164,164
C165,165
C166,166
C167,167
C168,168
C169,169
C170,170
C171,171
C172,172
C173,173
C174,174
C175,175
C176,176
C177,177
C178,178
C179,179
C180,180
C181,181
C182,182
C183,183
C184,184
C185,185
C186,186
C187,187
C188,188
C189,189
C190,190
C191,191
C192,192
C193,193
C194,194
C195,195
C196,196
C197,197
C198,198
C199,199
C200,200
C201,201
C202,202
C203,203
C204,204
C205,205
C206,206
C207,207
C208,208
C209,209
