,C0,C20,C40,C60,C80,C100,C120,C140,C160,C180,C200,C220,C240,C260,C280,C300,C320,C340,C360,C380,C400,C420,C440,C460,C480,C500,C520,C540,C560,C580,C600,C620,C640,C660,C680,C700,C720,C740,C760,C780,C800,C820,C840,C860,C880,C900,C920,C940,C960,C980,C1000,C1020,C1040,C1060,C1080,C1100
hns,0.3204846,0.2518937,0.1901047,0.2066227,0.2348376,0.1920169,0.2128796,0.1548165,0.2264475,0.2326359,0.1857697,0.1828385,0.2964678,0.1868430,0.1662184,0.1895821,0.2174176,0.1653815,0.1780052,0.1672351,0.2328644,0.1997468,0.1723464,0.2000214,0.2665172,0.2060356,0.2286808,0.1898591,0.2473325,0.3050640,0.2184848,0.2890310,0.1974575,0.2252560,0.2360992,0.2387972,0.1345383,0.2195530,0.2133515,0.3218882,0.2663879,0.1801156,0.2005618,0.1927919,0.2689291,0.2213438,0.2053241,0.2479958,0.2784101,0.1875728,0.1792237,0.1697372,0.2693054,0.1820136,0.1985798,0.2038632
cspA,0.7054184,0.7392421,0.7676357,0.6616477,0.7567366,0.7329123,0.6741813,0.6693608,0.7607066,0.8974251,0.7512943,0.8159686,0.8210003,0.7820439,0.7193199,0.6889396,0.7251348,0.6556810,0.8479158,0.7266700,0.6869658,0.7266186,0.6691039,0.6241108,0.6395121,0.6915526,0.5968485,0.6024133,0.6661621,0.6199834,0.6407372,0.6937241,0.6645894,0.7280180,0.6275022,0.6952454,0.7316103,0.7665006,0.6188597,0.6810467,0.7523272,0.7079674,0.6717044,0.7246028,0.6631019,0.7464372,0.7224335,0.6838977,0.7035569,0.6528241,0.7856275,0.7546888,0.7587602,0.8107495,0.8198381,0.7121271
bolA,0.0894085,0.0782899,0.0925639,0.0371445,0.0401674,0.0366539,0.0265442,0.0404477,0.0593844,0.0294594,0.0371250,0.0150222,0.0216137,0.0180273,0.0416364,0.0725985,0.0408824,0.0315819,0.0300790,0.0205595,0.0236079,0.0217827,0.0199963,0.0368171,0.0340550,0.0793423,0.0443136,0.0227345,0.0307288,0.0563596,0.1407507,0.0607063,0.0681770,0.1146759,0.0861524,0.0743309,0.0896377,0.0683404,0.1089296,0.0968763,0.0681321,0.1025480,0.1071674,0.0700109,0.0501987,0.1112089,0.1247436,0.0711033,0.0983773,0.1174014,0.1271024,0.0930009,0.1135491,0.0734090,0.1541372,0.1211696
bglJ,0.6664296,0.7488400,0.5651887,0.6391769,0.7587931,0.7402657,0.6693737,0.6627031,0.7477413,0.6055960,0.6884521,0.5733694,0.6961091,0.9045793,0.7311873,0.7234545,0.6716884,0.6558862,0.6836103,0.7697023,0.7063238,0.6789813,0.6252163,0.5893243,0.6838627,0.7151418,0.8299497,0.6993015,0.6306579,0.5412507,0.7585691,0.6146743,0.5759734,0.5255030,0.5944195,0.6796171,0.5180730,0.5113328,0.5263093,0.5727754,0.5544715,0.5884220,0.5885307,0.7167415,0.7416005,0.5969699,0.5694248,0.6796602,0.5917055,0.5866852,0.5547217,0.6912591,0.6627009,0.6545162,0.6161854,0.6618301
leuO,0.0193794,0.0184025,0.0201276,0.0246810,0.0274905,0.0180298,0.0141783,0.0288519,0.0200567,0.0097268,0.0126756,0.0265174,0.0108568,0.0331404,0.0133762,0.0185589,0.0186841,0.0302875,0.0200954,0.0041456,0.0100077,0.0160286,0.0209145,0.0062979,0.0088752,0.0043977,0.0169651,0.0108053,0.0147604,0.0246019,0.0263826,0.0053236,0.0102388,0.0077150,0.0167853,0.0139780,0.0121305,0.0275072,0.0117169,0.0140509,0.0101984,0.0066382,0.0211791,0.0072536,0.0047402,0.0051478,0.0297848,0.0078440,0.0082136,0.0294345,0.0239206,0.0061984,0.0134364,0.0149819,0.0639042,0.0023946
cadC,0.0653298,0.3097484,0.5032887,0.5909541,0.5317668,0.6288673,0.7139896,0.5229067,0.8329378,0.7133386,0.6709149,0.6461071,0.8109157,0.7424417,0.6397131,0.5318470,0.6668689,0.6592988,0.6734126,0.6849435,0.6330665,0.6458052,0.6639072,0.7390379,0.7368897,0.6706498,0.6161356,0.6443065,0.6011833,0.6226367,0.5379668,0.4613974,0.5688124,0.7223808,0.6118429,0.5521710,0.4880129,0.5980678,0.4640631,0.4825031,0.5318490,0.4729018,0.4349469,0.3501891,0.3483886,0.3776934,0.2690225,0.2318308,0.2025105,0.1947304,0.0914862,0.1126669,0.0769704,0.0811838,0.0868873,0.0879147
stpA,0.4305973,0.5080532,0.5172501,0.5830629,0.5967813,0.4921340,0.5412715,0.5095687,0.5583896,0.6118905,0.5062539,0.5098606,0.5482818,0.4935832,0.6265340,0.5486181,0.5475721,0.4894734,0.5795031,0.4731836,0.4444533,0.3600253,0.5301784,0.6260473,0.6047255,0.4167037,0.6801791,0.6176205,0.6239441,0.6178705,0.5664067,0.5180998,0.5614260,0.5098159,0.4651754,0.4341508,0.5482276,0.6099295,0.4732538,0.6213707,0.5149566,0.5069179,0.4608842,0.5270505,0.5608936,0.5933654,0.5704040,0.6083123,0.5146832,0.5853155,0.4987663,0.5873621,0.5132639,0.4901017,0.4836414,0.5260635
nhaR,0.1984593,0.2605290,0.2177802,0.1374059,0.1320952,0.1235398,0.1120450,0.1438974,0.1867825,0.1467391,0.1592956,0.2015906,0.1781724,0.1336074,0.2314574,0.1551490,0.1656990,0.1522061,0.1346107,0.2053894,0.1133424,0.1033227,0.1684644,0.1165140,0.1004170,0.0788206,0.0865119,0.1343823,0.1305148,0.1500180,0.1346843,0.1183800,0.1496163,0.1854258,0.1797794,0.1247077,0.1332866,0.1844125,0.1830281,0.1676526,0.2197785,0.1621036,0.2080447,0.1248376,0.1507962,0.1665352,0.1934162,0.1512631,0.1437476,0.1115815,0.1742178,0.1402212,0.1742109,0.2137812,0.1910364,0.2177371
gutM,0.0172691,0.1069333,0.1775065,0.2575016,0.2057560,0.2190316,0.2635792,0.3683681,0.3850732,0.3320859,0.3823388,0.3541370,0.3715722,0.4315577,0.5549836,0.4265357,0.3700901,0.4490197,0.4661288,0.6483088,0.4309212,0.3737883,0.3890143,0.4933673,0.4215637,0.4536639,0.5029019,0.4702485,0.5062386,0.3401875,0.2561077,0.2229000,0.3053217,0.2460670,0.2069387,0.2440875,0.2333436,0.2299901,0.1718586,0.1683962,0.1493779,0.1679716,0.1299279,0.1752387,0.1749640,0.1552671,0.1682306,0.1119169,0.1407135,0.1503522,0.1137022,0.0735017,0.0945426,0.0464527,0.0397031,0.0411599
srlR,0.4873333,0.3662513,0.4851844,0.4608933,0.4217880,0.4265566,0.3973835,0.3808437,0.4537546,0.4942497,0.3878179,0.4387866,0.4360659,0.4340723,0.4297689,0.4521029,0.3667517,0.4323201,0.3906496,0.4564561,0.4464004,0.4611068,0.4504856,0.4434367,0.4572321,0.3990963,0.5082283,0.4091740,0.5189854,0.4749980,0.4691717,0.3796892,0.4650099,0.4854684,0.3791935,0.4545929,0.3946374,0.4412320,0.4588277,0.4418812,0.4920271,0.4551392,0.4506274,0.3481923,0.4171174,0.3946394,0.4627812,0.3866199,0.4076876,0.3775820,0.4447445,0.4757778,0.3968811,0.4353186,0.4527146,0.3843425
