Gene1,Gene2,Type
hupB,micF,+
hupB,seqA,+
hupB,pgm,+
hupB,tyrP,+
fis,hupB,+
fis,mtlR,+
fis,marR,+
fis,marA,+
fis,xylR,+
fis,glcC,+
fis,hupA,+
fis,gadX,+
fis,marB,+
fis,gadA,+
fis,gadB,+
fis,gadC,+
fis,xylH,+
fis,xylG,+
fis,xylF,+
fis,mtlA,+
fis,mtlD,+
fis,ptsG,+
mtlR,mtlA,+
mtlR,mtlD,+
marR,marA,+
marR,marB,+
marA,marR,+
marA,rob,+
marA,putA,+
marA,marB,+
marA,hdeB,+
marA,yhiD,+
marA,hdeA,+
marA,micF,+
marA,fumC,+
marA,zwf,+
marA,dctR,+
marA,slp,+
marA,inaA,+
marA,nfo,+
marA,ygiA,+
marA,ygiC,+
marA,ygiB,+
marA,tolC,+
marA,acrA,+
marA,acrB,+
marA,sodA,+
marA,fpr,+
marA,rfaY,+
marA,poxB,+
marA,rfaZ,+
marA,pqiB,+
marA,pqiA,+
marA,purA,+
rob,marR,+
rob,marA,+
rob,marB,+
rob,micF,+
rob,fumC,+
rob,zwf,+
rob,inaA,+
rob,nfo,+
rob,ygiA,+
rob,ygiC,+
rob,ygiB,+
rob,tolC,+
rob,acrA,+
rob,acrB,+
rob,sodA,+
xylR,xylH,+
xylR,xylG,+
xylR,xylF,+
hupA,micF,+
hupA,seqA,+
hupA,pgm,+
hupA,tyrP,+
soxS,marR,+
soxS,marA,+
soxS,marB,+
soxS,micF,+
soxS,fumC,+
soxS,zwf,+
soxS,inaA,+
soxS,nfo,+
soxS,ygiA,+
soxS,ygiC,+
soxS,ygiB,+
soxS,tolC,+
soxS,acrA,+
soxS,acrB,+
soxS,sodA,+
soxS,fpr,+
soxS,rfaY,+
soxS,poxB,+
soxS,rfaZ,+
soxS,pqiB,+
soxS,pqiA,+
soxS,ptsG,+
soxR,soxS,+
soxR,fumC,+
gadX,gadW,+
gadX,gadE,+
gadX,mdtE,+
gadX,mdtF,+
gadX,hdeB,+
gadX,yhiD,+
gadX,hdeA,+
gadX,gadA,+
gadX,gadB,+
gadX,gadC,+
gadX,dctR,+
gadX,slp,+
gadX,gadY,+
gadX,hdeD,+
gadX,cadB,+
gadX,cadA,+
torR,gadX,+
torR,hdeB,+
torR,yhiD,+
torR,hdeA,+
torR,gadA,+
rutR,gadX,+
rutR,gadW,+
rutR,nemR,+
rutR,nemA,+
gadW,gadX,+
gadW,gadE,+
gadW,mdtE,+
gadW,mdtF,+
gadW,hdeB,+
gadW,yhiD,+
gadW,hdeA,+
gadW,gadA,+
gadW,gadB,+
gadW,gadC,+
gadW,dctR,+
gadW,slp,+
gadW,gadY,+
nemR,nemA,+
gadE,gadX,+
gadE,gadW,+
gadE,mdtE,+
gadE,mdtF,+
gadE,hdeB,+
gadE,yhiD,+
gadE,hdeA,+
gadE,gadA,+
gadE,gadB,+
gadE,gadC,+
gadE,hdeD,+
gadE,purA,+
gadE,cadB,+
gadE,cadA,+
ydeO,gadE,+
ydeO,mdtE,+
ydeO,mdtF,+
evgA,gadE,+
evgA,ydeO,+
evgA,mdtE,+
evgA,mdtF,+
