,PseudoTime
CELL0,0.0
CELL6,6.0
CELL12,12.0
CELL18,18.0
CELL24,24.0
CELL30,30.0
CELL36,36.0
CELL42,42.0
CELL48,48.0
CELL54,54.0
CELL60,60.0
CELL66,66.0
CELL72,72.0
CELL78,78.0
CELL84,84.0
CELL90,90.0
CELL96,96.0
CELL102,102.0
CELL108,108.0
CELL114,114.0
CELL120,120.0
CELL126,126.0
CELL132,132.0
CELL138,138.0
CELL144,144.0
CELL150,150.0
CELL156,156.0
CELL162,162.0
CELL168,168.0
CELL174,174.0
CELL180,180.0
CELL186,186.0
CELL192,192.0
CELL198,198.0
CELL204,204.0
CELL210,210.0
CELL216,216.0
CELL222,222.0
CELL228,228.0
CELL234,234.0
CELL240,240.0
CELL246,246.0
CELL252,252.0
CELL258,258.0
CELL264,264.0
CELL270,270.0
CELL276,276.0
CELL282,282.0
CELL288,288.0
CELL294,294.0
