Gene1,Gene2,Type
uvrD,lexA,+
polB,lexA,+
lexA,uvrD,+
lexA,umuDC,+
lexA,recA,+
lexA,uvrA,+
lexA,uvrY,+
lexA,ruvA,+
lexA,polB,+
recA,lexA,+
umuDC,lexA,+
uvrA,lexA,+
uvrY,lexA,+
ruvA,lexA,+
uvrD,umuDC,-
uvrD,recA,-
uvrD,uvrA,-
uvrD,uvrY,-
uvrD,ruvA,-
uvrD,polB,-
umuDC,uvrD,-
umuDC,recA,-
umuDC,uvrA,-
umuDC,uvrY,-
umuDC,ruvA,-
umuDC,polB,-
recA,uvrD,-
recA,umuDC,-
recA,uvrA,-
recA,uvrY,-
recA,ruvA,-
recA,polB,-
uvrA,uvrD,-
uvrA,umuDC,-
uvrA,recA,-
uvrA,uvrY,-
uvrA,ruvA,-
uvrA,polB,-
uvrY,uvrD,-
uvrY,umuDC,-
uvrY,recA,-
uvrY,uvrA,-
uvrY,ruvA,-
uvrY,polB,-
ruvA,uvrD,-
ruvA,umuDC,-
ruvA,recA,-
ruvA,uvrA,-
ruvA,uvrY,-
ruvA,polB,-
polB,uvrD,-
polB,umuDC,-
polB,recA,-
polB,uvrA,-
polB,uvrY,-
polB,ruvA,-
Emx2,Pax6,-
polB,polB,-
