Gene1,Gene2
APC,ODC1
EGR1,FN1
EGR1,PLAU
GATA3,TGFBR3
GATA3,ZEB1
GATA6,DAB2
GATA6,DKK1
GATA6,PLAU
KLF6,PMAIP1
KLF8,CDH2
KLF8,FN1
KLF8,VIM
NANOG,CDK6
NANOG,DKK1
NANOG,KDR
NANOG,GATA4
NANOG,GATA6
NANOG,LAMB1
NANOG,SEMA6A
NR3C1,CDK6
NR3C1,PNRC1
NR3C1,SPP1
OTX2,CCNG2
OTX2,CDC25C
PITX2,WNT5A
PRDM1,PCNA
PURA,PCNA
SATB1,GATA3
SIRT1,BCL11A
SIRT1,COL1A2
SIRT1,EGLN1
SIRT1,TBX3
WWP1,ERBB4
ZEB1,EPCAM
ZEB2,ITGA5
ZEB2,VIM
APC,KIFAP3
APC,TUBA4A
ARID5B,ACSS3
ARID5B,ANKRD13C
ARID5B,BUB1B
ARID5B,CCDC138
ARID5B,DPH2
ARID5B,DUSP10
ARID5B,EHD3
ARID5B,ESCO2
ARID5B,HAPLN1
ARID5B,LRRN1
ARID5B,LUM
ARID5B,PHLPP1
ARID5B,PITX2
ARID5B,PTDSS1
ARID5B,SEMA3A
ARID5B,SHISA6
ARID5B,TMEM38B
ARID5B,ZEB2
ATF6,ADAMTS3
ATF6,ANKRD13C
ATF6,BAMBI
ATF6,CDC14B
ATF6,CEP55
ATF6,CPE
ATF6,DACH1
ATF6,DCAF6
ATF6,DYNC2LI1
ATF6,ELL2
ATF6,ENOPH1
ATF6,FAM117B
ATF6,FN1
ATF6,GATA3
ATF6,GATA4
ATF6,GOLGB1
ATF6,GPM6B
ATF6,HLA-DQB1
ATF6,HOMER1
ATF6,IPO4
ATF6,KAT7
ATF6,KLHL12
ATF6,LGR5
ATF6,LHX1
ATF6,MAGI3
ATF6,MXI1
ATF6,NAV2
ATF6,NR3C1
ATF6,PAK1
ATF6,PCDH7
ATF6,PDLIM3
ATF6,PIP5K1B
ATF6,PPM1K
ATF6,PREPL
ATF6,PTPRM
ATF6,RIOK1
ATF6,SCG3
ATF6,SLC16A2
ATF6,SLC7A3
ATF6,SLITRK2
ATF6,SNX16
ATF6,SYNE2
ATF6,UCK2
ATF6,ZCCHC11
ATF6,ZFP36L2
BHLHE40,CAMK2D
BHLHE40,EIF5A2
BHLHE40,ENOPH1
BHLHE40,HPS5
BHLHE40,KLHL12
BHLHE40,LTV1
BHLHE40,PAK1IP1
BHLHE40,VIM
DAB2,MIB1
EGR1,ACBD6
EGR1,ADAMTS3
EGR1,ADSS
EGR1,ALDH18A1
EGR1,ALG6
EGR1,ANKMY2
EGR1,ANKRD26
EGR1,ANKRD28
EGR1,ANKRD50
EGR1,ANXA3
EGR1,ARFGAP3
EGR1,ARHGAP29
EGR1,ATP11B
EGR1,BCAR3
EGR1,BHLHE40
EGR1,C12orf23
EGR1,C18orf21
EGR1,C20orf112
EGR1,CAD
EGR1,CALCOCO2
EGR1,CASD1
EGR1,CCDC112
EGR1,CCDC82
EGR1,CCKBR
EGR1,CD9
EGR1,CDK6
EGR1,CLCN3
EGR1,COL1A1
EGR1,COL4A2
EGR1,CREB3L2
EGR1,CUL1
EGR1,DBF4
EGR1,DCAF6
EGR1,DDAH1
EGR1,DENND1A
EGR1,DLGAP5
EGR1,DNAJC11
EGR1,DPY19L1
EGR1,DSCAM
EGR1,DSE
EGR1,DUSP4
EGR1,DYNC2LI1
EGR1,EARS2
EGR1,ECI2
EGR1,ELOVL2
EGR1,ENOPH1
EGR1,ERBB2IP
EGR1,ERRFI1
EGR1,FAM115A
EGR1,FAM162A
EGR1,FAM46A
EGR1,FAM64A
EGR1,FAM69A
EGR1,FASTKD3
EGR1,FRMD6
EGR1,FST
EGR1,FYTTD1
EGR1,FZD5
EGR1,GABRB3
EGR1,GALNT11
EGR1,GGCT
EGR1,GXYLT1
EGR1,HECA
EGR1,HOMER1
EGR1,HOXB3
EGR1,HPRT1
EGR1,IL13RA1
EGR1,IMPAD1
EGR1,INSIG2
EGR1,ITGB3BP
EGR1,KAT7
EGR1,KDELR3
EGR1,KIAA1324L
EGR1,KIF15
EGR1,KIF2C
EGR1,KLF6
EGR1,KRCC1
EGR1,LAP3
EGR1,LCMT1
EGR1,LEPRE1
EGR1,LIFR
EGR1,MAK16
EGR1,MALT1
EGR1,MAN1A1
EGR1,MAN2A1
EGR1,METAP1
EGR1,MIA3
EGR1,MIB1
EGR1,MICU1
EGR1,MLF1IP
EGR1,MND1
EGR1,MPHOSPH6
EGR1,NAV2
EGR1,NDUFC2-KCTD14
EGR1,NEDD4
EGR1,NFXL1
EGR1,NIPSNAP1
EGR1,NOG
EGR1,NOL11
EGR1,NR3C1
EGR1,NRIP1
EGR1,NT5DC3
EGR1,NUCB2
EGR1,NUMB
EGR1,NUP35
EGR1,PAK1
EGR1,PCK2
EGR1,PDGFA
EGR1,PGM2
EGR1,PIP4K2A
EGR1,PITX2
EGR1,PLAGL1
EGR1,PNPLA8
EGR1,PNRC1
EGR1,PODXL
EGR1,POLA1
EGR1,POLR3G
EGR1,PPAT
EGR1,PPT2
EGR1,PRICKLE1
EGR1,PRIM1
EGR1,PTDSS1
EGR1,PTGR1
EGR1,PURA
EGR1,PUS7
EGR1,RAB31
EGR1,RABGAP1L
EGR1,RAI14
EGR1,REV3L
EGR1,RFESD
EGR1,RNF19A
EGR1,SAMD8
EGR1,SEMA5A
EGR1,SERPINB1
EGR1,SH2B3
EGR1,SH3BP5
EGR1,SHISA6
EGR1,SHOX2
EGR1,SIRT1
EGR1,SLC2A1
EGR1,SLC36A4
EGR1,SLC39A8
EGR1,SLC7A8
EGR1,SNX18
EGR1,SOS2
EGR1,SPRED2
EGR1,SPRY2
EGR1,SRGAP1
EGR1,SSFA2
EGR1,SSX2IP
EGR1,STIM2
EGR1,THYN1
EGR1,TIMM21
EGR1,TIMM8A
EGR1,TIMP3
EGR1,TJP2
EGR1,TMEM131
EGR1,TMEM87B
EGR1,TRAPPC8
EGR1,TRIB1
EGR1,TRIM27
EGR1,TRIM37
EGR1,UBL3
EGR1,UCHL3
EGR1,URB2
EGR1,USP1
EGR1,VAMP7
EGR1,VPS13C
EGR1,WDHD1
EGR1,WNT5A
EGR1,XPO5
EGR1,YTHDF3
EGR1,ZCCHC11
EGR1,ZCCHC24
EGR1,ZDHHC2
EGR1,ZFP62
EGR1,ZFP90
EGR1,ZNF280B
EGR1,ZNF3
EGR1,ZNF691
EGR1,ZSWIM6
FOXJ2,APLNR
FOXJ2,ATRNL1
FOXJ2,CLDN10
FOXJ2,DDAH1
FOXJ2,ENOPH1
FOXJ2,ETV1
FOXJ2,FOXP1
FOXJ2,GPM6B
FOXJ2,ITGB3BP
FOXJ2,KIAA1324L
FOXJ2,MAP4K3
FOXJ2,MXI1
FOXJ2,NUMB
FOXJ2,PCDH10
FOXJ2,PDCD4
FOXJ2,PITX2
FOXJ2,PLCE1
FOXJ2,PRDM1
FOXJ2,SATB1
FOXJ2,SEMA3A
FOXJ2,SEMA6D
FOXJ2,SLC39A8
FOXJ2,TRIM2
FOXJ2,TRIM27
FOXJ2,TRPS1
FOXJ2,VEZT
FOXJ2,WWP1
FOXJ2,ZEB2
GATA3,ALDH18A1
GATA3,B4GALT4
GATA3,CCNG2
GATA3,CDK6
GATA3,ETV1
GATA3,FER
GATA3,LAMB1
GATA3,LRIG3
GATA3,NOP16
GATA3,NXT2
GATA3,RAI14
GATA3,RIOK1
GATA3,SATB1
GATA3,SH2B3
GATA3,SPRED2
GATA3,SPRY2
GATA3,ST3GAL6
GATA3,UCHL3
GATA3,ZFPM2
GATA4,ZFPM2
HOXB3,OTX2
ID1,IFI16
IFI16,ID1
KAT7,CALCOCO2
KAT7,MCM2
KAT7,POLB
KAT7,VIM
LZTS1,CDC25C
MCM2,CCNB2
MCM2,CDC6
MCM2,CDC7
MCM2,CDK6
MCM2,DBF4
MCM2,KAT7
MCM2,MCM10
MCM2,MCM5
MCM2,PLK1
MCM2,RPA2
MCM5,CDC7
MCM5,DBF4
MCM5,MCM2
MCM5,NFKBIA
MCM5,RPA2
MED14,NR3C1
MXI1,ABCA1
MXI1,ACTL6A
MXI1,AGL
MXI1,AGPAT5
MXI1,AK4
MXI1,AKAP1
MXI1,ALDOC
MXI1,ALG6
MXI1,AMN1
MXI1,ANKRD28
MXI1,ARL4A
MXI1,ATF6
MXI1,BEND3
MXI1,BHLHE40
MXI1,BNIP3
MXI1,BOD1
MXI1,BUB1B
MXI1,C12orf23
MXI1,C20orf112
MXI1,CAD
MXI1,CAPN2
MXI1,CBR1
MXI1,CCNE2
MXI1,CDC7
MXI1,CDCA7
MXI1,CDK6
MXI1,CEP85L
MXI1,CHD9
MXI1,CIRH1A
MXI1,COMMD10
MXI1,COMMD3
MXI1,COX10
MXI1,CPSF3
MXI1,DLC1
MXI1,DNA2
MXI1,DNAAF2
MXI1,DNAJB14
MXI1,DPH2
MXI1,EDEM3
MXI1,EIF5A2
MXI1,ENC1
MXI1,ENOPH1
MXI1,ETV1
MXI1,FARSB
MXI1,GALNT7
MXI1,GLRX
MXI1,GPR125
MXI1,GPSM2
MXI1,GYPB
MXI1,HEATR1
MXI1,HOXB3
MXI1,HPS5
MXI1,HRSP12
MXI1,IFRD2
MXI1,IFT81
MXI1,IPO4
MXI1,KIAA1804
MXI1,KLHL28
MXI1,LAP3
MXI1,LCMT1
MXI1,LRIG3
MXI1,MAPRE2
MXI1,MBTD1
MXI1,MCCC1
MXI1,MLF1IP
MXI1,MOB3B
MXI1,MPHOSPH6
MXI1,NAA25
MXI1,NAT10
MXI1,NFIB
MXI1,NIPSNAP1
MXI1,NOL11
MXI1,NOP2
MXI1,ODC1
MXI1,OSBPL10
MXI1,PAK1IP1
MXI1,PARN
MXI1,PATZ1
MXI1,PAWR
MXI1,PDE3B
MXI1,PGAP2
MXI1,PGM2
MXI1,PLAGL1
MXI1,PLK1
MXI1,POLA1
MXI1,POLR1B
MXI1,POLR3G
MXI1,PPAT
MXI1,PRTG
MXI1,PTDSS1
MXI1,PURA
MXI1,RABEPK
MXI1,RAD54L
MXI1,RAI14
MXI1,RCHY1
MXI1,RFC4
MXI1,RFESD
MXI1,RHOBTB3
MXI1,RIOK1
MXI1,RNF138
MXI1,RPF2
MXI1,RPP40
MXI1,S100A10
MXI1,SART3
MXI1,SERHL2
MXI1,SETD7
MXI1,SH2B3
MXI1,SLC29A1
MXI1,SLC39A14
MXI1,SLC39A8
MXI1,SLC5A6
MXI1,SLC6A15
MXI1,SLC7A8
MXI1,SMYD2
MXI1,SORD
MXI1,SPG20
MXI1,SSX2IP
MXI1,STT3B
MXI1,TATDN1
MXI1,TBX3
MXI1,TFB2M
MXI1,THY1
MXI1,TIMM8A
MXI1,TMF1
MXI1,TP53INP1
MXI1,TRIB1
MXI1,TUBA4A
MXI1,TXLNG
MXI1,UNG
MXI1,URB2
MXI1,UTP14A
MXI1,UTP18
MXI1,WDFY1
MXI1,WDR3
MXI1,WDR35
MXI1,WDR75
MXI1,WEE1
MXI1,ZFP36L2
MXI1,ZFP62
MXI1,ZNF146
MXI1,ZNF317
NFATC3,ANKMY2
NFATC3,ANKRD28
NFATC3,CDH11
NFATC3,ETV1
NFATC3,LIFR
NFATC3,SATB1
NFATC3,VIM
NFKBIA,CAPN2
NFKBIA,CUL1
NFKBIA,MAP3K2
NFKBIA,MCM5
NR3C1,ABLIM1
NR3C1,C20orf112
NR3C1,CHD9
NR3C1,DCAF6
NR3C1,DKK1
NR3C1,ELMO1
NR3C1,FOXP1
NR3C1,LIFR
NR3C1,MED14
NR3C1,NRIP1
NR3C1,POLDIP3
NR3C1,RNF14
NR3C1,SFRP2
NR3C1,SLC7A8
NR3C1,SNX18
NR3C1,STK3
NR3C1,SYT1
NR3C1,TIMM8A
NRIP1,NR3C1
PARN,MPHOSPH6
PATZ1,ADAMTS3
PATZ1,AKAP2
PATZ1,ARID5B
PATZ1,BCAR3
PATZ1,BCL11B
PATZ1,C20orf112
PATZ1,COLEC12
PATZ1,DACH1
PATZ1,DCAF5
PATZ1,DSCAM
PATZ1,FOXJ2
PATZ1,KDM6A
PATZ1,KRCC1
PATZ1,LECT1
PATZ1,LHFP
PATZ1,MAN2A1
PATZ1,MXI1
PATZ1,NAV2
PATZ1,NOG
PATZ1,PHC1
PATZ1,PLCB1
PATZ1,PPT2
PATZ1,RMI1
PATZ1,SETBP1
PATZ1,SLC2A1
PATZ1,STT3B
PATZ1,STX6
PATZ1,TMEM57
PATZ1,UTP18
PATZ1,YPEL5
PATZ1,ZCCHC24
PAWR,RRAS2
POLR1B,RRN3
RAI14,FEZ1
RNF14,FAM46A
RNF14,NR3C1
SOS2,SPRED2
SOS2,SPRY2
TMF1,FER
TRIM27,ABCA1
WWP1,KDR
WWP1,PDGFRA
ZEB1,ACBD6
ZEB1,ACTC1
ZEB1,ALCAM
ZEB1,ALPK2
ZEB1,CEP192
ZEB1,CLDN7
ZEB1,COL4A2
ZEB1,CYP2S1
ZEB1,DAAM1
ZEB1,DCAF6
ZEB1,DSCAM
ZEB1,FAM115A
ZEB1,FAM89A
ZEB1,FN1
ZEB1,FOXP1
ZEB1,FREM1
ZEB1,GABRB2
ZEB1,GPC4
ZEB1,HSPA14
ZEB1,IQGAP2
ZEB1,JPH1
ZEB1,LEPRE1
ZEB1,LTBP1
ZEB1,MAN1A1
ZEB1,NFIB
ZEB1,NRP2
ZEB1,OTX2
ZEB1,PAWR
ZEB1,PCDH7
ZEB1,PHLDA1
ZEB1,PIK3R5
ZEB1,PPM1H
ZEB1,PPT2
ZEB1,PREPL
ZEB1,PROM1
ZEB1,PRSS23
ZEB1,PUS7
ZEB1,RFESD
ZEB1,RPE
ZEB1,SAMD3
ZEB1,SETD7
ZEB1,STIM2
ZEB1,SVIL
ZEB1,TMOD1
ZEB1,TP53INP1
ZEB1,TRIM27
ZEB1,UNC5D
ZEB1,USP1
ZFPM2,GATA3
ZFPM2,GATA4
ATF6,SEL1L
EGR1,AHNAK
EGR1,CHD9
EGR1,EPHA2
EGR1,MEX3C
EGR1,NFIB
EGR1,PATZ1
EGR1,SERTAD2
EGR1,SPP1
EGR1,TRIM2
FOXP1,ANKRD28
FOXP1,ARID5B
FOXP1,BCL11A
FOXP1,CADM1
FOXP1,CAMK2D
FOXP1,CDK6
FOXP1,CEP112
FOXP1,CHD9
FOXP1,CHN1
FOXP1,FNDC3B
FOXP1,ITGA4
FOXP1,LIMCH1
FOXP1,LTBP1
FOXP1,NAV2
FOXP1,NRP2
