Gene1,Gene2
POLR1B,RRN3
POLR1C,RRN3
MCM5,CDC6
KAT7,CDC6
MCM2,CDC6
SIRT1,MCM10
SIRT1,SETD7
SIRT1,CHEK2
SIRT1,CDK6
SIRT1,ZEB1
ZEB1,SIRT1
MCM5,CCNE2
MCM5,UNG
MCM5,TOP2A
MCM5,NDC80
MCM5,DBF4
MCM5,CDCA7
MCM5,DTL
MCM5,WDHD1
MCM5,CDCA8
MCM5,NCAPG
MCM5,TK1
MCM5,CDC20
MCM5,CCNA2
MCM5,RFC5
MCM5,ESCO2
MCM5,EXO1
MCM5,RFC4
MCM5,CCNB2
MCM5,RPA2
MCM5,CDCA5
MCM5,MCM10
MCM5,BUB1B
MCM5,DSCC1
MCM5,CDC7
MCM5,AURKB
MCM5,TTK
MCM5,POLA1
MCM5,KIF23
MCM5,MCM2
MCM2,MCM5
MCM5,PLK1
MCM5,PCNA
MCM5,KIF11
MCM5,TIPIN
MCM5,CHEK2
MCM5,GINS2
MCM5,PRIM1
MCM5,RFC3
SOS2,RASGRP3
SOS2,RRAS2
SOS2,PAK1
NFKBIA,KLF6
KLF6,NFKBIA
NFKBIA,MALT1
NFKBIA,TDP2
NFKBIA,CUL1
NFKBIA,PRKACB
NFKBIA,PAWR
PAWR,NFKBIA
BMP4,SCG3
CENPK,OIP5
MCM2,OIP5
BMP4,LAMB1
EGF,LAMB1
POLR1B,TWISTNB
POLR1C,TWISTNB
POLR1B,UTP18
BMP2,COL1A1
MCM2,RAD51AP1
NANOG,ZIC3
ZIC3,NANOG
NANOG,KDR
NANOG,EPHA1
NANOG,THY1
NANOG,OTX2
OTX2,NANOG
NANOG,PROM1
NANOG,TBX3
TBX3,NANOG
NANOG,GATA4
GATA4,NANOG
NANOG,BMP4
BMP4,NANOG
NANOG,CDH2
NANOG,GATA6
GATA6,NANOG
NANOG,EOMES
EOMES,NANOG
HAND1,ADSS
NR3C1,NRIP1
NRIP1,NR3C1
NR3C1,WWP1
WWP1,NR3C1
NR3C1,DYNC1I1
NR3C1,PRKACB
EGF,ODC1
ELL2,MLLT3
MLLT3,ELL2
EGR1,OAS1
EGR1,EGF
EGF,EGR1
EGR1,NFATC3
NFATC3,EGR1
EGR1,PHC1
BMP4,NOG
BMP4,SPP1
BMP4,GPC3
BMP4,MATN3
BMP4,FOXF1
FOXF1,BMP4
BMP4,RGMB
BMP4,BAMBI
BMP4,MEPE
BMP4,OTX2
OTX2,BMP4
BMP4,WNT5A
BMP4,TBX3
TBX3,BMP4
BMP4,GATA4
GATA4,BMP4
BMP4,BMPR1A
BMPR1A,BMP4
BMP4,FN1
BMP4,BMPER
BMP4,ZFYVE16
BMP4,TNC
BMP4,ID1
ID1,BMP4
BMP4,SHOX2
SHOX2,BMP4
BMP4,FST
BMP4,MIA3
BMP4,CDH2
BMP4,BMP2
BMP2,BMP4
BMP4,SDC2
BMP4,FBN1
BMP4,EOMES
EOMES,BMP4
BMP4,PRSS23
BMP4,DKK1
BMP4,CER1
BMP4,PENK
BMP4,LTBP1
CNTRL,TUBA4A
CENPK,NCAPG
MCM2,NCAPG
MCM2,GINS2
BHLHE40,RMI1
BHLHE40,BLM
BMP2,FST
BMPR1A,FST
EGF,PDGFRA
PDGFA,PDGFRA
APC,CDH2
APC,CUL1
APC,ASH2L
ASH2L,APC
APC,FZD5
TBX3,GATA3
GATA3,TBX3
TBX3,SHOX2
SHOX2,TBX3
TBX3,GATA6
GATA6,TBX3
POLR1B,NAT10
TMF1,STX6
POLR1C,MRPS9
KAT7,MCM2
MCM2,KAT7
KAT7,PLK1
MCM2,KIF23
MCM2,KIF11
WWP1,HECW2
RNF14,HECW2
RNF19A,HECW2
POLR1B,WDR12
POLR1C,WDR12
DAB2,SYT1
EGF,SYT1
WWP1,RNF138
RNF14,RNF138
RNF19A,RNF138
CENPK,NDC80
MCM2,NDC80
MCM2,TIPIN
WWP1,TRIM37
RNF14,TRIM37
RNF19A,TRIM37
DAB2,VAMP7
EGF,VAMP7
SETBP1,CCDC6
TRIP11,ARFGAP3
EGF,LIFR
EGF,EPCAM
ZEB1,EPCAM
EGF,KDR
PDGFA,KDR
DAB2,WNT5A
EGF,WNT5A
PARN,XRN1
MCM2,CCNE2
MCM2,TOP2A
MCM2,KIF15
MCM2,DBF4
MCM2,CDCA7
MCM2,DTL
MCM2,WDHD1
MCM2,CDCA8
MCM2,CDC20
MCM2,NUSAP1
MCM2,CCNA2
MCM2,RFC5
MCM2,ESCO2
MCM2,EXO1
MCM2,RFC4
MCM2,CCNB2
MCM2,RPA2
MCM2,MCM10
MCM2,BUB1B
MCM2,DSCC1
MCM2,CDC7
MCM2,AURKB
MCM2,TTK
MCM2,POLA1
MCM2,PLK1
MCM2,TEX10
MCM2,PCNA
MCM2,KIF2C
MCM2,ZWINT
MCM2,CHEK2
MCM2,CDK6
MCM2,PRIM1
MCM2,RAD54L
MCM2,RFC3
EGF,ERBB2IP
EGF,SPRY2
EGF,CLU
EGF,ITGA6
EGF,PROM1
EGF,LGR5
EGF,NECAP2
EGF,FN1
EGF,PLAU
EGF,DAB2
DAB2,EGF
EGF,SNX18
EGF,CDH2
EGF,BMP2
BMP2,EGF
EGF,PDGFA
PDGFA,EGF
EGF,ERBB4
EGF,ZEB1
ZEB1,EGF
EGF,EPHA2
ZEB2,CDH2
ZEB1,CDH2
GATA6,GATA3
GATA3,GATA6
GATA6,GATA4
GATA4,GATA6
GATA6,ZFPM2
ZFPM2,GATA6
TMF1,VPS54
CENPK,CDCA5
WWP1,SH3RF1
RNF19A,SH3RF1
RNF14,SH3RF1
CENPK,BUB1B
CENPK,CCNB2
MYOCD,ACTC1
POLR1B,UTP15
POLR1C,UTP15
BMP2,BMPER
BMP2,COL1A2
WWP1,LRR1
RNF14,LRR1
RNF19A,LRR1
POLR1B,TRUB1
POLR1C,TRUB1
POLR3E,POLR1B
POLR1B,POLR3E
POLR3E,POLR3G
POLR3E,NFIB
NFIB,POLR3E
POLR3E,POLR1C
POLR1C,POLR3E
CNTRL,PLK1
CENPK,PLK1
NFATC3,GATA4
GATA4,NFATC3
POLR1B,TSR1
PARN,TSR1
POLR1B,WDR3
BMPR1A,RGMB
BMP2,RGMB
DAB2,SNX18
DAB2,NECAP2
CENPK,AURKB
POLR1B,TTC27
POLR1B,WDR75
POLR1C,WDR75
CENPK,DYNC1I1
WWP1,RCHY1
RNF14,RCHY1
RNF19A,RCHY1
LZTS1,CDC25C
PARN,EXOSC3
MED14,MED12L
WWP1,CUL1
RNF14,CUL1
RNF19A,CUL1
POLR1B,CIRH1A
POLR1C,CIRH1A
BMP2,NOG
GATA4,NOG
BMPR1A,NOG
CREB3L2,PRKACB
PURA,POLA1
PURA,PCNA
