Gene1,Gene2
BCL11A,RGPD2
EOMES,CER1
EOMES,DCLK1
EOMES,KLHL4
EOMES,KIAA1324L
EOMES,RIPPLY1
EOMES,OTX2
EOMES,NCAM1
EOMES,MATN3
EOMES,TNC
EOMES,ANGPT2
EOMES,VWA5A
EOMES,CA14
EOMES,CLGN
EOMES,RND3
EOMES,MAMLD1
EOMES,TTC39B
EOMES,GATA4
EOMES,SEMA3E
EOMES,ALPK2
EOMES,PIP4K2A
EOMES,PLAGL1
EOMES,UNC5D
EOMES,BCAR3
EOMES,C4orf46
EOMES,NANOG
EOMES,GLRX
EOMES,GYPB
EOMES,FAM117B
EOMES,PLOD2
EOMES,PRICKLE1
EOMES,KLHL6
EOMES,TNFRSF11B
EOMES,DKK4
EOMES,PLAU
EOMES,ATG4C
EOMES,ZNF521
EOMES,SLC39A8
EOMES,IFI16
EOMES,ETV1
EOMES,CDC7
EOMES,SLITRK2
EOMES,TTK
EOMES,PRIM1
EOMES,PAM
EOMES,ARHGAP28
EOMES,CPE
EOMES,ATP2B4
EOMES,RGS5
EOMES,ENC1
EOMES,MFAP4
EOMES,COL4A6
EOMES,ESCO2
EOMES,WDHD1
EOMES,DKK1
EOMES,SEMA6A
EOMES,BAMBI
EOMES,TMEM64
EOMES,RNF138
EOMES,GYPE
EOMES,CALB1
EOMES,KDELR3
EOMES,GATA6
EOMES,PREPL
EOMES,CD9
EOMES,ECI2
EOMES,AK4
EOMES,PPM1H
EOMES,NOL11
EOMES,NUAK1
EOMES,RAD51AP1
EOMES,TMEM38B
EOMES,ARL4D
EOMES,PGM2
EOMES,SLC39A11
EOMES,LGALSL
EOMES,CAMK2D
EOMES,FLRT2
EOMES,CA2
EOMES,ST8SIA1
EOMES,SKA3
EOMES,OAS1
EOMES,SIRT1
EOMES,STIM2
EOMES,INSIG2
EOMES,TP53INP1
EOMES,ADAMTS3
EOMES,NOC3L
EOMES,ANKRD13C
EOMES,WLS
EOMES,RMI1
EOMES,RGPD2
EOMES,POLR3G
EOMES,KAT7
EOMES,PMP22
EOMES,PALLD
EOMES,DUSP4
EOMES,KLF8
EOMES,PPT2
EOMES,MRPL1
EOMES,GPSM2
EOMES,YPEL5
EOMES,ASH2L
EOMES,CCKBR
EOMES,CNKSR3
EOMES,BTBD10
EOMES,TRDN
EOMES,TMEM131
EOMES,CEP55
EOMES,MAGI3
EOMES,ANKRD50
EOMES,FN1
EOMES,SEMA3A
EOMES,DDAH1
EOMES,DCAF6
EOMES,TSPAN12
EOMES,PHLDA1
EOMES,FREM1
EOMES,PCDH7
EOMES,PDE3B
EOMES,CDCA2
EOMES,TIPIN
EOMES,ZEB1
EOMES,NEDD4
EOMES,HAS2
EOMES,TIPARP
EOMES,C3orf14
EOMES,KLHL28
EOMES,CCDC138
EOMES,SEMA6D
EOMES,CCDC141
EOMES,SLC6A15
EOMES,FAM135A
EOMES,TJP2
EOMES,FBN1
EOMES,ARFGAP3
EOMES,VIM
EOMES,PRKACB
EOMES,REV3L
EOMES,BUB1B
EOMES,ARHGAP42
EOMES,HSD17B11
EOMES,CAP2
EOMES,SLC35F1
EOMES,PRSS35
EOMES,HOMER1
EOMES,ESRP1
EOMES,CCPG1
EOMES,FARSB
EOMES,EXO1
EOMES,ANKRD28
EOMES,KIF15
EOMES,NAP1L3
EOMES,BCL11A
EOMES,TEX10
EOMES,TDP2
EOMES,NTS
EOMES,EPCAM
EOMES,SNX14
EOMES,GYPA
EOMES,AGL
EOMES,DEPDC1B
EOMES,TGFBR3
GATA4,CCDC141
GATA4,VWA5A
GATA4,C4orf46
GATA4,COLEC12
GATA4,RGS5
GATA4,MPHOSPH9
GATA4,ALPK2
GATA4,GATA6
GATA4,BTBD10
GATA4,ANXA3
GATA4,TNC
GATA4,ALCAM
GATA4,PAM
GATA4,ST8SIA1
GATA4,SLC39A8
GATA4,ANGPT2
GATA4,PLAGL1
GATA4,TTK
GATA4,KIAA1324L
GATA4,NOC3L
GATA4,ODC1
GATA4,CALB1
GATA4,ST3GAL6
GATA4,RIN2
GATA6,RGS5
GATA6,C4orf46
GATA6,RGPD2
GATA6,CCDC141
GATA6,VWA5A
GATA6,COLEC12
GATA6,PLAGL1
GATA6,BTBD10
GATA6,SLC39A8
GATA6,TNC
GATA6,ST8SIA1
GATA6,CALB1
GATA6,ALPK2
MLLT3,RGPD2
NANOG,OTX2
NANOG,PRICKLE1
NANOG,CER1
NANOG,AK4
NANOG,DCLK1
NANOG,ETV1
NANOG,TNC
NANOG,SFRP2
NANOG,RGS5
NANOG,WDHD1
NANOG,ST8SIA4
NANOG,RGPD2
NANOG,KLHL4
NANOG,PLAGL1
NANOG,IFI16
NANOG,AKAP2
NANOG,WLS
NANOG,IGDCC4
NANOG,CD200
NANOG,USP44
NANOG,PAM
NANOG,PPM1H
NANOG,ADAMTS3
NANOG,TTC39B
NANOG,LPIN1
NANOG,ANXA3
NANOG,PALLD
NANOG,VIM
NANOG,BAMBI
NANOG,ATP2B4
NANOG,PFKFB2
NANOG,C4orf46
NANOG,POLR1B
NANOG,TFB2M
NANOG,UNC5D
NANOG,DKK1
NANOG,THY1
NANOG,PITX2
