Gene1,Gene2
MCM5,RFC2
MCM6,RFC2
MCM7,RFC2
BRCA2,RFC2
GTF2H3,RFC2
BRCA1,RFC2
MCM3,RFC2
MCM4,RFC2
DDB2,RFC2
MCM5,KIF22
KNTC1,KIF22
TRIP13,CDK1
TRIP13,TOP2A
TRIP13,ORC5
TRIP13,NDC80
TRIP13,PTTG1
PTTG1,TRIP13
TRIP13,KIAA0101
TRIP13,CENPN
TRIP13,CENPF
TRIP13,ANLN
TRIP13,NCAPG
TRIP13,KIF20A
TRIP13,DLGAP5
TRIP13,CDC20
TRIP13,NUSAP1
TRIP13,NEK2
TRIP13,PRC1
TRIP13,CHEK1
TRIP13,RFC4
TRIP13,AURKA
TRIP13,CCNB2
TRIP13,FANCI
TRIP13,BUB1B
TRIP13,HMMR
TRIP13,ZWILCH
TRIP13,TPX2
TRIP13,CDKN3
TRIP13,CCNB1
TRIP13,TYMS
TRIP13,OIP5
TRIP13,MELK
TRIP13,AURKB
TRIP13,RRM2
TRIP13,SLC39A1
TRIP13,TTK
TRIP13,MAD2L1BP
TRIP13,MAD2L1
TRIP13,FEN1
TRIP13,KIF23
TRIP13,RAD51AP1
TRIP13,UBE2C
TRIP13,PLK1
TRIP13,BUB1
TRIP13,ZWINT
TRIP13,VRK1
TRIP13,BIRC5
TRIP13,RAD54L
TRIP13,MCM4
MCM4,TRIP13
RNF19A,KEAP1
MCM5,CDC6
MCM6,CDC6
PTTG1,CDC6
MYBL2,CDC6
MCM7,CDC6
CDKN1A,CDC6
BRCA1,CDC6
MCM3,CDC6
MCM4,CDC6
GEMIN2,AAAS
F2,SERPIND1
MCM5,CDK1
MCM5,ORC4
MCM5,MCM6
MCM6,MCM5
MCM5,TOP2A
MCM5,ORC5
MCM5,NDC80
MCM5,DBF4
MCM5,RRM2B
MCM5,WDHD1
MCM5,ANLN
MCM5,POLD2
MCM5,NCAPG
MCM5,KIF20A
MCM5,POLE4
MCM5,TK1
MCM5,CDC20
MCM5,MSH2
MCM5,LIG1
MCM5,RFC5
MCM5,ESCO2
MCM5,PRC1
MCM5,CHEK1
MCM5,RFC4
MCM5,AURKA
MCM5,CCNB2
MCM5,BUB1B
MCM5,PRIM2
MCM5,KIF20B
MCM5,TPX2
MCM5,MCM7
MCM7,MCM5
MCM5,CCNB1
MCM5,GMNN
MCM5,TYMS
MCM5,AURKB
MCM5,DUT
MCM5,RRM2
MCM5,OBFC1
MCM5,TTK
MCM5,MAD2L1
MCM5,FEN1
MCM5,KIF23
MCM5,KNTC1
KNTC1,MCM5
MCM5,UBE2C
MCM5,PLK1
MCM5,BUB1
MCM5,PCNA
MCM5,SMC4
MCM5,HAT1
MCM5,SMC2
MCM5,KPNA2
MCM5,CHTF18
MCM5,NUF2
MCM5,RNASEH2A
MCM5,TIPIN
MCM5,CHEK2
MCM5,DNMT1
DNMT1,MCM5
MCM5,BIRC5
MCM5,RRM1
MCM5,PRIM1
MCM5,MCM3
MCM3,MCM5
MCM5,MCM4
MCM4,MCM5
MCM5,HELLS
PLRG1,PHF5A
MCM6,AURKA
PTTG1,AURKA
MYBL2,AURKA
MCM7,AURKA
BRCA2,AURKA
BRCA1,AURKA
MCM3,AURKA
MCM4,AURKA
MYBL2,CDK1
MYBL2,TOP2A
MYBL2,CENPF
MYBL2,NCAPG
MYBL2,CDC20
MYBL2,CCNB2
MYBL2,HDAC1
HDAC1,MYBL2
MYBL2,BUB1B
MYBL2,TPX2
MYBL2,CCNB1
MYBL2,MELK
MYBL2,AURKB
MYBL2,RRM2
MYBL2,UBE2C
MYBL2,PLK1
MYBL2,BUB1
MYBL2,BIRC5
MYBL2,RAD54L
SALL4,EED
