Gene1,Gene2
CREB1,FANCD2
CREB1,RRM1
CREB1,ZFAND2A
CREB1,CENPK
CREB1,C11orf1
CREB1,TBRG4
CREB1,EXOSC9
CREB1,PAK1IP1
CREB1,ATG5
CREB1,KLHL7
CREB1,WDHD1
CREB1,EFTUD2
CREB1,PHF5A
CREB1,ING3
CREB1,PRC1
CREB1,PEF1
CREB1,MTTP
CREB1,CACYBP
CREB1,CENPE
CREB1,ICE2
CREB1,AURKA
CREB1,HAT1
CREB1,ZNF143
CREB1,TFRC
CREB1,ARG2
CREB1,ISY1
CREB1,ATP1B3
CREB1,ZNF561
CREB1,POLB
CREB1,PCNA
CREB1,ATL2
CREB1,RFC4
CREB1,GEMIN8
CREB1,TF
CREB1,CKS2
CREB1,RFC2
CREB1,SMC4
CREB1,NEDD1
CREB1,RNASEH2A
CREB1,NIF3L1
CREB1,TIMM21
CREB1,CENPN
CREB1,HERPUD1
CREB1,WDR43
CREB1,ANP32E
CREB1,MLF1
CREB1,MRPS27
CREB1,NUDT15
CREB1,MCM6
CREB1,RNF138
CREB1,NUP35
CREB1,MCM7
CREB1,ATG4C
CREB1,LCMT1
CREB1,PEMT
CREB1,AIMP2
CREB1,WARS
CREB1,NPRL2
CREB1,VRK1
CREB1,NUP54
CREB1,TIPIN
CREB1,BUB1B
CREB1,NCAPG
CREB1,NIP7
CREB1,HNRNPH2
CREB1,NUF2
CREB1,MIS18BP1
CREB1,PIGH
CREB1,NDUFAF5
CREB1,CHEK1
CREB1,KIF23
CREB1,RAB28
CREB1,UBE2T
CREB1,DCAF13
CREB1,HIBCH
CREB1,RUVBL1
CREB1,CHEK2
CREB1,TMEM69
CREB1,AASS
CREB1,GATM
CREB1,CDCA3
CREB1,MAD2L1
CREB1,PUS7L
CREB1,ZWILCH
CREB1,FBL
CREB1,NUP93
CREB1,PRKCE
CREB1,ASL
CREB1,AMZ2
CREB1,ZNF766
CREB1,DPH6
CREB1,C1GALT1
CREB1,DSN1
CREB1,CENPU
CREB1,GMPR2
CREB1,MCM3
CREB1,GPN3
CREB1,AURKB
CREB1,CCNB1
CREB1,THYN1
CREB1,ORC4
CREB1,ACADSB
CREB1,PRMT5
CREB1,DPAGT1
CREB1,SLC7A6
CREB1,KPNA2
CREB1,CDK5RAP1
CREB1,UTP18
CREB1,DDIT3
CREB1,TPX2
CREB1,ACTL6A
CREB1,PPP1R7
CREB1,CEP70
CREB1,DGAT1
CREB1,SIL1
CREB1,DTWD1
CREB1,IQCB1
CREB1,FEN1
CREB1,PARPBP
CREB1,NUP37
CREB1,MPC1
CREB1,HMGB2
CREB1,ZWINT
CREB1,MCM4
CREB1,EEF1E1
CREB1,BLM
CREB1,CAMK2D
CREB1,BCS1L
CREB1,PLRG1
CREB1,BIRC5
CREB1,CDK4
CREB1,KIF22
CREB1,DLGAP5
CREB1,IL6ST
CREB1,CDKN3
CREB1,TBPL1
CREB1,NOP16
CREB1,ASNS
CREB1,MORN2
CREB1,IMP4
CREB1,DROSHA
CREB1,PLK1
CREB1,VPS72
CREB1,COMMD10
CREB1,HMMR
CREB1,TOP2A
CREB1,CKAP2
CREB1,NUP88
CREB1,HMGN4
CREB1,PMAIP1
CREB1,SEC11C
CREB1,MRPL1
CREB1,STMN1
CREB1,MTHFD2
CREB1,UGP2
CREB1,ACADVL
CREB1,ISG15
CREB1,UBE2C
CREB1,ZFYVE21
CREB1,NEK2
CREB1,ALG8
CREB1,CPSF3
CREB1,BRIX1
CREB1,SPTLC3
CREB1,ACY1
CREB1,TDP2
CREB1,DNPEP
CREB1,KIF20B
CREB1,ACOT7
CREB1,GMNN
CREB1,MSH2
CREB1,RAD51AP1
CREB1,SKA3
CREB1,FANCI
CREB1,C17orf75
CREB1,GGCT
CREB1,MPHOSPH9
CREB1,C19orf48
CREB1,MST1
CREB1,CDC20
CREB1,TEX10
CREB1,DDIT4
CREB1,NUSAP1
CREB1,CENPF
CREB1,BBS9
CREB1,RSU1
CREB1,UQCC1
