Gene1,Gene2
CREB1,GRPR
CREB1,STMN1
DDIT3,ASNS
DDIT3,ATG5
DDIT3,TF
KLF6,PMAIP1
KLF6,PTTG1
OTX2,AURKA
OTX2,HESX1
PTTG1,CCNB1
PTTG1,CDK1
PTTG1,ID3
PTTG1,LGALS1
ZNF143,BUB1B
CREB1,ACY1
CREB1,AIMP2
CREB1,ATG5
CREB1,C11orf1
CREB1,CAMK2D
CREB1,CHEK1
CREB1,DGAT1
CREB1,F3
CREB1,GPM6B
CREB1,ID2
CREB1,ID3
CREB1,LAMB1
CREB1,LAMC1
CREB1,LCMT1
CREB1,MAP1B
CREB1,MED21
CREB1,MLF1
CREB1,PAK1IP1
CREB1,PEF1
CREB1,PITX2
CREB1,POLB
CREB1,PRKCE
CREB1,SEC11C
CREB1,SGK1
CREB1,TF
CREB1,TFRC
CREB1,UMPS
CREB1,USP44
DDIT3,APEH
DDIT3,CCS
DDIT3,FANCB
DDIT3,ID2
DDIT3,ID3
DDIT3,IQGAP2
DDIT3,LAMC1
DDIT3,MRPS27
DDIT3,NIP7
DDIT3,VTN
KNTC1,ZWILCH
MCM3,HAUS1
MCM3,MCM4
MCM3,MCM6
MCM3,MCM7
MCM3,ORC4
MCM3,PLK1
MCM4,CDK1
MCM4,MCM3
MCM4,MCM6
MCM4,MCM7
MCM4,ORC4
MCM6,GMNN
MCM6,MCM3
MCM6,MCM4
MCM6,MCM7
MCM6,ORC4
MCM7,MCM3
MCM7,MCM4
MCM7,MCM6
MCM7,ORC4
MCM7,PLK1
NFYB,AURKA
NFYB,CENPF
NFYB,CKS1B
NFYB,DDIT3
NFYB,DPYSL2
NFYB,NIF3L1
NFYB,NUP37
NFYB,PHF5A
NFYB,UBE2T
PTTG1,ANAPC4
PTTG1,ANAPC7
PTTG1,CDC20
RUVBL1,ACTL6A
RUVBL1,DKC1
TGIF1,ACTC1
TGIF1,EEF1E1
TGIF1,GPC3
TGIF1,ID2
TGIF1,IQGAP2
TGIF1,PRMT5
TGIF1,WARS
ZIC2,BSCL2
ZIC2,CETN3
ZIC2,HPX
ZIC2,PPFIBP2
ZIC2,TPD52L1
NFYB,CCNB1
NFYB,PCNA
