Gene1,Gene2
MCM6,RFC2
MCM7,RFC2
MCM3,RFC2
MCM4,RFC2
DDB2,RFC2
KNTC1,KIF22
F2,SERPIND1
PLRG1,PHF5A
MCM6,AURKA
PTTG1,AURKA
MCM7,AURKA
MCM3,AURKA
MCM4,AURKA
PTTG1,DECR1
MCM7,RNASEH2A
MCM6,RNASEH2A
PTTG1,RNASEH2A
MCM3,RNASEH2A
MCM4,RNASEH2A
GEMIN2,FBL
F2,FBL
RUVBL1,FBL
POLR1C,FBL
F2,APOC3
MCM6,RAD51AP1
PTTG1,RAD51AP1
KNTC1,RAD51AP1
MCM7,GMNN
MCM6,GMNN
PTTG1,GMNN
MCM3,GMNN
MCM4,GMNN
MCM6,MSH2
MCM7,MSH2
MCM3,MSH2
MCM4,MSH2
F2,TFPI
F2,APOB
F2,APOA1
PLRG1,CPSF3
NFYB,DDIT3
DDIT3,NFYB
RUVBL1,DDX39A
CENPK,NUP85
MCM6,NUP85
KNTC1,NUP85
GEMIN2,NUP85
F2,GNRH2
PTTG1,DLGAP5
KNTC1,DLGAP5
MCM4,DLGAP5
MIS18BP1,DLGAP5
PTTG1,FAM64A
MCM6,NCAPG
PTTG1,NCAPG
MCM7,NCAPG
CENPK,NCAPG
KNTC1,NCAPG
MCM3,NCAPG
MCM4,NCAPG
MIS18BP1,NCAPG
POLR1C,NIP7
MCM6,CCNB1
PTTG1,CCNB1
MCM7,CCNB1
CENPK,CCNB1
KNTC1,CCNB1
MCM3,CCNB1
MCM4,CCNB1
MIS18BP1,CCNB1
DDB2,DCAF13
DDB2,ACTL6A
DDB2,COMMD3
DDB2,PCNA
DDB2,RUVBL1
RUVBL1,DDB2
DDB2,RFC4
DDB2,COMMD10
POLR1C,IMP4
MCM6,KIF23
PTTG1,KIF23
MCM7,KIF23
KNTC1,KIF23
MCM3,KIF23
MCM4,KIF23
POLR1C,WDR12
ZNF143,ASUN
ZNF143,ICE2
MCM7,TIPIN
MCM6,TIPIN
MCM3,TIPIN
MCM4,TIPIN
MCM4,CDK1
MCM4,ORC4
MCM4,MCM6
MCM6,MCM4
MCM4,TOP2A
MCM4,PTTG1
PTTG1,MCM4
MCM4,KIAA0101
MCM4,WDHD1
MCM4,CDC20
MCM4,NUSAP1
MCM4,PRC1
MCM4,CHEK1
MCM4,RFC4
MCM4,CCNB2
MCM4,FANCI
MCM4,BUB1B
MCM4,HMMR
MCM4,TPX2
MCM4,MCM7
MCM7,MCM4
MCM4,CDKN3
MCM4,MELK
MCM4,AURKB
MCM4,RRM2
MCM4,MAD2L1
MCM4,FEN1
MCM4,UBE2C
MCM4,PLK1
MCM4,BUB1
MCM4,PCNA
MCM4,SMC4
MCM4,HAT1
MCM4,ZWINT
MCM4,CHEK2
MCM4,BIRC5
MCM4,RRM1
MCM4,PRIM1
MCM4,MCM3
MCM3,MCM4
MCM4,HELLS
CENPK,SGOL1
PTTG1,SGOL1
KNTC1,SGOL1
MCM7,HAT1
MCM3,HAT1
MCM6,CDK1
MCM6,ORC4
MCM6,TOP2A
MCM6,PTTG1
PTTG1,MCM6
MCM6,WDHD1
MCM6,CDC20
MCM6,PRC1
MCM6,CHEK1
MCM6,RFC4
MCM6,CCNB2
MCM6,BUB1B
MCM6,TPX2
MCM6,MCM7
MCM7,MCM6
MCM6,MELK
MCM6,AURKB
MCM6,RRM2
MCM6,MAD2L1
MCM6,FEN1
MCM6,KNTC1
KNTC1,MCM6
MCM6,UBE2C
MCM6,PLK1
MCM6,BUB1
MCM6,PCNA
MCM6,SMC4
MCM6,ZWINT
MCM6,CHEK2
MCM6,RRM1
MCM6,PRIM1
MCM6,MCM3
MCM3,MCM6
MCM6,HELLS
MCM6,GMPS
GEMIN2,NUP54
F2,KNG1
F2,AMBP
PTTG1,CENPE
CENPK,CENPE
KNTC1,CENPE
MIS18BP1,CENPE
PTTG1,ANLN
MCM7,NUF2
CENPK,NUF2
PTTG1,NUF2
KNTC1,NUF2
MCM3,NUF2
MIS18BP1,NUF2
PLRG1,ISY1
RUVBL1,CENPU
CENPK,CENPU
PTTG1,CENPU
KNTC1,CENPU
MIS18BP1,CENPU
MCM3,HAUS1
MED21,BIRC5
PTTG1,BUB1B
MCM7,BUB1B
CENPK,BUB1B
KNTC1,BUB1B
MCM3,BUB1B
MIS18BP1,BUB1B
MCM3,FANCD2
PTTG1,CCNB2
HMGB2,CCNB2
MCM7,CCNB2
CENPK,CCNB2
KNTC1,CCNB2
MCM3,CCNB2
GEMIN2,NUP35
F2,ALB
HMGB2,CDK1
HMGB2,TOP2A
HMGB2,MAD2L1
HMGB2,UBE2C
PTTG1,MAD2L1
MCM7,MAD2L1
CENPK,MAD2L1
KNTC1,MAD2L1
MCM3,MAD2L1
F2,F2RL1
POLR1C,DCAF13
PTTG1,MELK
KNTC1,MELK
MCM3,MELK
CENPK,KIAA0101
PTTG1,KIAA0101
MIS18BP1,KIAA0101
PTTG1,PLK1
MCM7,PLK1
CENPK,PLK1
KNTC1,PLK1
MCM3,PLK1
MIS18BP1,PLK1
MCM7,TPX2
PTTG1,TPX2
MCM7,RRM1
MCM3,RRM1
PTTG1,BIRC5
CENPK,BIRC5
KNTC1,BIRC5
MCM3,BIRC5
PTTG1,TK1
PTTG1,BUB1
MCM7,BUB1
CENPK,BUB1
KNTC1,BUB1
MCM3,BUB1
MIS18BP1,BUB1
PITX2,LEFTY2
PTTG1,FEN1
MCM7,FEN1
MCM3,FEN1
PLRG1,SF3B3
F2,FGB
F2,FGA
MCM7,CDK1
MCM7,ORC4
MCM7,TOP2A
MCM7,WDHD1
MCM7,CDC20
MCM7,PRC1
MCM7,CHEK1
MCM7,RFC4
MCM7,KIF20B
MCM7,AURKB
MCM7,RRM2
MCM7,UBE2C
MCM7,PCNA
MCM7,SMC4
MCM7,CHEK2
MCM7,PRIM1
MCM7,MCM3
MCM3,MCM7
GEMIN2,NUP37
GEMIN2,NUP88
GEMIN2,NUP93
GEMIN2,GEMIN8
GEMIN2,PRMT5
F2,AFP
F2,AGT
F2,APOA2
F2,SPP1
F2,AHSG
F2,F3
F2,FGG
F2,GRPR
F2,F10
MIS18BP1,CENPN
MIS18BP1,DSN1
MIS18BP1,ITGB3BP
MIS18BP1,ECT2
MIS18BP1,CENPF
MIS18BP1,CDK1
MIS18BP1,RUVBL1
RUVBL1,MIS18BP1
MIS18BP1,CENPK
CENPK,MIS18BP1
MIS18BP1,CDC20
MIS18BP1,NUSAP1
MIS18BP1,CENPW
MIS18BP1,TOP2A
MIS18BP1,NEK2
MIS18BP1,RRM2
MIS18BP1,CKAP2
PTTG1,FANCI
KNTC1,FANCI
MCM3,FANCI
PTTG1,CKS1B
CENPK,ZWILCH
KNTC1,ZWILCH
PTTG1,AURKB
CENPK,AURKB
KNTC1,AURKB
MCM3,AURKB
RUVBL1,CENPN
RUVBL1,ACTL6A
RUVBL1,VPS72
RUVBL1,ITGB3BP
RUVBL1,ANP32E
RUVBL1,CENPK
CENPK,RUVBL1
RUVBL1,TEX10
RUVBL1,DKC1
RUVBL1,DPCD
RUVBL1,CENPW
RUVBL1,ING3
ING3,RUVBL1
RUVBL1,PRMT5
PTTG1,SKA3
ING3,ACTL6A
ING3,VPS72
ING3,ANP32E
KNTC1,NUP37
KNTC1,CDK1
KNTC1,CENPK
CENPK,KNTC1
KNTC1,TOP2A
KNTC1,CENPN
KNTC1,CENPF
KNTC1,DSN1
KNTC1,ZWINT
KNTC1,CDC20
KNTC1,NUSAP1
KNTC1,RFC4
KNTC1,ITGB3BP
KNTC1,PRIM1
KNTC1,MCM3
MCM3,KNTC1
DNMT3B,DPPA4
DNMT3B,HELLS
LIN28A,DPPA4
PTTG1,CDKN3
POLR1C,BRIX1
CREB1,CAMK2D
PTTG1,UBE2C
MCM3,UBE2C
MCM3,SMC4
MCM3,PRIM1
PTTG1,RRM2
MCM3,RRM2
MCM3,WDHD1
CENPK,CENPF
PTTG1,CENPF
PTTG1,NEK2
PTTG1,UBE2T
CREB1,SGK1
CENPK,CENPW
PTTG1,CENPW
POLR1C,DKC1
CENPK,ITGB3BP
MCM3,KIF20B
POLR1C,ZNF143
ZNF143,POLR1C
POLR1C,CTPS1
