Gene1,Gene2,Score
ATF3,PSMB2,360
ATF3,MORF4L1,283
ATF3,RPL9,220
EGR1,TUBA1B,210
EGR1,DYNLT1B,142
EGR1,SDCBP,217
EGR1,EIF5A,380
EGR1,IFRD1,190
EGR1,ATP6V1B2,234
EGR1,ARPC5,300
EGR1,RASGEF1B,121
EGR1,P4HB,175
EGR1,DDX5,184
EGR1,PARK7,143
EGR1,POLD4,153
EGR1,PRDX5,103
EGR1,RPL27,271
EGR1,ACTN1,184
EGR1,GSTO1,118
EGR1,PPP2R5C,130
EGR1,ATP5D,107
EGR1,FKBP2,172
EGR1,POMP,149
EGR1,HNRNPC,136
EGR1,WDR1,152
EGR1,H2AFV,134
EGR1,BANF1,139
EGR1,TRP53,136
EGR1,MRFAP1,117
EGR1,COX7A2L,135
EGR1,ATP6V1F,148
EGR1,TPT1,129
EGR1,SNRPE,127
EGR1,UBB,164
EGR1,TRAPPC4,152
EGR1,RPS25,152
EGR1,LEPROT,152
EGR1,BCL2A1C,126
EGR1,CCR1,117
EGR1,NFKBIZ,116
IRF1,PSMB10,860
IRF1,PSMB8,416
IRF1,BST2,665
IRF1,PSME2,420
IRF1,POMP,829
IRF1,TAPBP,461
IRF1,PSME1,418
IRF1,PSMA4,426
IRF1,SNX10,302
IRF1,TBRG1,650
IRF1,SLC15A3,259
IRF1,CD274,534
IRF1,PSMB9,283
IRF1,POLR2G,464
IRF1,FCF1,431
IRF1,PSMA5,299
IRF1,AKR1B3,252
IRF1,UBE2L6,288
IRF1,UQCRH,2443
IRF1,TPT1,364
IRF1,PSMA2,240
IRF1,CASP1,249
IRF1,B2M,315
IRF1,SEPT11,1709
IRF1,STAT1,117
IRF1,ARPC4,1792
IRF1,BZW1,1503
IRF1,TMBIM6,245
IRF1,BLVRB,275
IRF1,CFLAR,153
IRF1,IFITM3,114
IRF1,TCF7L2,125
IRF1,PSMA3,190
IRF1,TNFRSF1B,129
IRF1,NAMPT,138
IRF1,SLC2A6,142
IRF1,MYL12B,852
IRF1,RNASEK,1175
IRF1,CTSS,227
IRF1,COPS5,1020
IRF1,RPS20,325
IRF1,H2-K1,171
IRF1,TMBIM4,251
IRF1,CCT5,1155
IRF1,RPL19,1168
IRF1,SOD2,387
IRF1,ASAH1,338
IRF1,CD164,596
IRF1,PSMA7,605
IRF1,CACYBP,234
IRF1,ATP6V0C,583
IRF1,MRPL27,140
IRF1,TRIM30A,187
IRF1,H2-T23,160
IRF1,SRI,349
IRF1,TRP53,819
IRF1,COX17,361
IRF1,TMEM128,118
IRF1,PNP,155
IRF1,PRPF40A,413
IRF1,PRDX2,224
IRF1,TMEM219,167
IRF1,SLC7A11,148
IRF1,ATP5O,113
IRF1,LCP1,140
IRF1,UQCRQ,137
IRF1,DNAJC8,114
IRF1,ATPIF1,114
IRF1,SGK1,115
IRF1,TBCB,134
IRF1,SEC61G,128
IRF1,NDUFB3,126
IRF1,CCL6,142
IRF1,SPCS1,165
IRF1,MBNL1,134
IRF1,NDUFA9,111
IRF1,IL1B,136
IRF1,PRDX6,125
