Gene1,Gene2
EGR1,CXCL2
EGR1,ENO1
EGR1,GADD45B
EGR1,IL1B
EGR1,MAP1LC3B
EGR1,TNF
EGR1,TRP53
ID2,TPT1
IRF1,CDKN1A
IRF1,TNF
KLF6,ASAH1
KLF6,CDKN1A
MDM2,TRP53
NFE2L2,AKR1B3
NFE2L2,CD36
NFE2L2,COX17
NFE2L2,MDM2
NFE2L2,MGST1
NFE2L2,MT1
NFE2L2,NFKB1
NFE2L2,PRDX1
NFE2L2,PRDX2
NFE2L2,SLC7A11
NFE2L2,SOD2
NFE2L2,SQSTM1
NFE2L2,IL1RN
NFKB1,BCL2A1D
NFKB1,CCL9
NFKB1,CDKN1A
NFKB1,CFLAR
NFKB1,CTNNB1
NFKB1,CXCL1
NFKB1,CXCL2
NFKB1,DUSP1
NFKB1,FTH1
NFKB1,GADD45B
NFKB1,GLRX
NFKB1,IL1A
NFKB1,IL1B
NFKB1,NFKBIA
NFKB1,NFKBIZ
NFKB1,PLAUR
NFKB1,PLIN2
NFKB1,PSME2
NFKB1,SOD2
NFKB1,STAT1
NFKB1,TAPBP
NFKB1,TLR2
NFKB1,TNF
NFKB1,TNFAIP3
NFKB1,TRP53
NFKBIA,NFKB1
NFKBIZ,NFKB1
STAT1,CD36
STAT1,EGR1
STAT1,IRF1
STAT1,MDM2
STAT1,MT1
STAT1,TRP53
TAF9,TRP53
TCF7L2,CD44
TRP53,ATF3
TRP53,BTG2
TRP53,CDKN1A
TRP53,CKS1B
TRP53,DUSP1
TRP53,EGR1
TRP53,GLIPR1
TRP53,ID2
TRP53,MDM2
TRP53,MT1
TRP53,NFKB1
TRP53,PCNA
TRP53,SOD2
TRP53,TCF7L2
TRP53,TPT1
ZFP36,NFKB1
ATF3,KLF6
ATF3,NFE2L2
ATF3,STAT1
ATF3,TRP53
BTF3,EEF1B2
BTF3,RPL10A
BTF3,RPL19
BTF3,RPL5
BTF3,RPS15
BTF3,RPS17
BTG1,PABPC1
BTG2,PABPC1
BTG2,ZFP36
COPS5,COPS6
CTNNB1,CDC42
CTNNB1,CSNK2B
CTNNB1,IQGAP1
CTNNB1,PSMA1
CTNNB1,PSMA4
CTNNB1,PSMA6
CTNNB1,PSMA7
CTNNB1,PSMB1
CTNNB1,PSMB10
CTNNB1,PSMB2
CTNNB1,PSMB4
CTNNB1,PSMB5
CTNNB1,PSMB7
CTNNB1,PSMC4
CTNNB1,PSMC5
CTNNB1,PSMC6
CTNNB1,PSMD14
CTNNB1,PSMD6
CTNNB1,PSMD8
CTNNB1,RAC1
CTNNB1,TCF7L2
CTNNB1,UBC
DDX5,HNRNPA2B1
DDX5,NPM1
EDF1,2900010M23RIK
EDF1,NDUFB7
EDF1,NDUFS8
EDF1,PSMB4
EDF1,UQCR11
EGR1,ACTG1
EGR1,APLP2
EGR1,ARPC4
EGR1,ATP5D
EGR1,ATP5G3
EGR1,ATP5J
EGR1,ATP6V1C1
EGR1,ATP6V1F
EGR1,BHLHE40
EGR1,BLVRB
EGR1,CBX3
EGR1,CCNL1
EGR1,CHMP2A
EGR1,CSNK2B
EGR1,CTSL
