Gene1,Gene2
TNF,CCL3
BTF3,RPS11
NME2,RPL8
BTF3,RPL8
BTF3,RPS9
TCEB2,NEDD8
TCEB2,NDUFA2
TNF,PSMB1
TCEB2,PSMB1
NFKBIA,PSMB1
TNF,CD83
TNF,LPL
POLR2G,HSPA8
BTF3,RPL19
TNF,PSMB6
TCEB2,PSMB6
NFKBIA,PSMB6
TNF,CXCL16
TNF,CCL4
TCEB2,UQCR11
NME2,HINT1
TNF,GNB2L1
NME2,RPS17
TNF,PSMA6
TCEB2,PSMA6
NFKBIA,PSMA6
NFKBIA,PSME1
NFKBIA,PSMB3
NFKBIA,UBC
NFKBIA,TNF
TNF,NFKBIA
NFKBIA,PSMA3
NFKBIA,PSMA5
NFKBIA,PSMB5
NFKBIA,RPS27A
NFKBIA,PSME2
NFKBIA,PSMA7
NFKBIA,SUMO1
NFKBIA,IL1B
NFKBIA,PSMD14
NFKBIA,PSMA4
NFKBIA,SQSTM1
NFKBIA,PSMB8
NFKBIA,PSMB2
BTF3,RPS3
BTF3,RPL38
BTF3,RPL23
BTF3,RPL37A
BTF3,RPL36AL
BTF3,RPL36A
BTF3,RPS20
BTF3,RPL14
BTF3,RPS8
BTF3,RPS17
BTF3,RPS19
BTF3,RPS13
BTF3,RPS6
BTF3,RPL35A
BTF3,RPS16
BTF3,NACA
BTF3,RPS14
BTF3,RPS27A
BTF3,RPS25
TNF,PSMB5
TCEB2,PSMB5
NFE2L2,SOD1
TNF,DUSP1
ZFP36,DUSP1
TNF,H2-K1
TNF,PSMB8
TCEB2,PSMB8
TNF,PSME1
TNF,PSMB3
TNF,CD14
TNF,UBC
TNF,FCGR2B
TNF,HMGB1
TNF,CD68
TNF,CXCL1
TNF,PSMA3
TNF,ZFP36
ZFP36,TNF
TNF,PSMA5
TNF,IL1RN
TNF,CXCL2
TNF,RPS27A
TNF,PSME2
TNF,ANXA5
TNF,PSMA7
TNF,IL1B
TNF,ACTB
TNF,TLR2
TNF,PSMD14
TNF,PSMA4
TNF,CCRL2
TNF,IL1A
TNF,LAMP1
TNF,PSMB2
TNF,CLEC4E
TCEB2,PSMD14
POLR2G,PCNA
TCEB2,PSMA7
TCEB2,PSMB2
CBX3,H2AFV
CBX3,H3F3B
CBX3,H3F3A
TCEB2,PSMA4
TCEB2,NDUFA7
TCEB2,COMMD3
TCEB2,PSME2
TCEB2,PSME1
TCEB2,PSMB3
TCEB2,UBC
TCEB2,CISH
TCEB2,PSMA3
TCEB2,PSMA5
TCEB2,UBE2L6
TCEB2,POLR2G
POLR2G,TCEB2
TCEB2,RPS27A
H1F0,HMGB1
POLR2G,UBC
POLR2G,H2AFV
POLR2G,H3F3B
POLR2G,H3F3A
POLR2G,RPS27A
