Gene1	Gene2	EdgeWeight
UNC13D	RABEP2	1
UBXN6	TNS3	1
2900010J23RIK	CHID1	1
ACD	NT5C3	1
ADCY7	CDK11B	1
MORF4L1	PIK3CD	1
RPL22L1	NDUFB7	1
YTHDC1	RP2H	1
SPEN	HBP1	1
GALE	TMED2	1
POR	FBXO6	1
CTCFL	SPNB2	1
ACP5	STX17	1
GON4L	GNPNAT1	1
MRPS11	SHFM1	1
MGST2	BRWD3	1
JUND	SNRNP35	1
5730494N06RIK	SP140	1
TRP53	DNAJC3	1
RPS7	ATAD2	1
SCYL1	CLEC1B	1
PTPN23	GPAA1	1
NR2F6	CLN5	1
4921513D23RIK	MAX	1
AK195755	JOSD2	1
AXL	COMMD2	1
TNFAIP8L2	RELB	1
1500012F01RIK	WDR47	1
ISCU	TFB2M	1
RP2H	SRGAP2	1
MYO7A	PAPSS2	1
LRP1	RPL30	1
MTSS1	BTG1	1
MYO1C	ATG4A	1
2310004I24RIK	SMEK1	1
RPS13	A930001N09RIK	1
BCL6	PIGX	1
UNC93B1	POLR2B	1
AK054493	IER2	1
ANKRD32	MRPS15	1
CD274	GLTPD1	1
RPPH1	IFI27L2A	1
RPL21	TNRC6B	1
TRAF1	CYB5B	1
ZFP511	PPDPF	1
SFXN1	MYCBP2	1
TTC3	ARRDC1	1
MRPL40	FAM126A	1
TBC1D9B	ALKBH3	1
MAP3K12	MAP2K3	1
IQCG	FDX1L	1
RPIA	H2-DMA	1
PI4K2A	CTDNEP1	1
RBL2	MAPK3	1
GAA	TPD52L2	1
CCDC32	ZMYM5	1
CCDC75	ERICH1	1
PRDX2	RPL19	1
ARL4C	LRRFIP2	1
MBD6	SLC16A6	1
CAMK1	DOK1	1
VAMP4	ANKRD33B	1
RAB8A	DHX33	1
GADD45B	AOAH	1
SOD2	CPPED1	1
FAM105B	XAB2	1
ZEB2	APOL7C	1
2310001A20RIK	EBNA1BP2	1
CAMK1	REEP4	1
ATP1A3	CINP	1
HSF2	NLN	1
EIF2B3	NXF1	1
IFT52	FAM76B	1
CREG1	KIAA0907	1
ATP5B	MSRA	1
LHX2	MKIAA1376	1
WDR26	NCOA4	1
VPS54	NUCB1	1
RNF114	NFE2L2	1
ZMAT2	AK136844	1
CDC16	RPL7L1	1
PRPF18	ROCK2	1
H2-D1	TFDP2	1
ECHS1	PSMD12	1
DICER1	AK132074	1
OBFC1	OMA1	1
SLC25A38	RMND5A	1
2700062C07RIK	FAM82B	1
CASP8AP2	2810002N01RIK	1
MAP2K7	SNAP29	1
SNX14	B230315N10RIK	1
SBNO1	2410042D21RIK	1
CRBN	CBARA1	1
MAP3K5	CRNKL1	1
TMEM63A	AKAP9	1
FMR1	PTAFR	1
RNF170	CDC16	1
LHX2	STIM2	1
ST3GAL3	ARF6	1
IFNAR1	CASP3	1
PITPNM1	STAMBPL1	1
TMEM60	D14ERTD668E	1
GPX4	FAM82B	1
USP1	GNL3	1
SYMPK	EF437368	1
NDUFA5	TLE4	1
PI4K2A	2010012O05RIK	1
UFD1L	MORC3	1
ESF1	2410004B18RIK	1
LRRK2	1110059G10RIK	1
FAM126A	WDR74	1
1810013D10RIK	SLC16A10	1
ATL2	RIF1	1
OGDH	PSMB6	1
MOBKL1A	ATAD2	1
BPOZ	MED20	1
FBXO8	MAPRE2	1
PAPSS1	EIF2B5	1
HMGCR	YTHDF1	1
TIMP2	RPS16	1
SEC11A	DGCR6	1
UBE2E1	SCAP	1
SPEG	PECI	1
NME1	HLTF	1
DNAJC1	OSBPL3	1
AP3M1	RRAS2	1
