Gene1,Gene2
CBX7,TRIM2
CBX7,TGFBR3
CBX7,COL27A1
CBX7,FGF3
CBX7,HTRA1
CBX7,ESRRB
CBX7,NRG2
CBX7,GRB10
CBX7,FOXQ1
CBX7,SLCO3A1
CBX7,FGFR3
CBX7,BMPER
CBX7,TPM1
CBX7,CHST15
CBX7,CDH6
CBX7,PTH1R
CBX7,GAS6
CBX7,GDPD5
CBX7,GNAS
CBX7,SOX7
CBX7,THBD
CBX7,P3H2
CBX7,ZFPM1
CBX7,LRRK1
CBX7,CITED1
CBX7,APP
CBX7,FST
CBX7,COL4A2
CBX7,COL4A1
CBX7,KHDC3
CBX7,SPOCK1
CBX7,VIM
CBX7,CACHD1
CBX7,ST3GAL6
CBX7,CTDSPL
CBX7,TNS1
CBX7,PODXL
CBX7,FRMD4A
CBX7,CYP26A1
CBX7,CPM
CBX7,ZBTB10
CBX7,GPRC5C
CBX7,DTX1
CBX7,MRAS
CBX7,DKK1
CBX7,MYO5B
CBX7,DDAH1
CBX7,SERPINE2
CBX7,MAN1A
CBX7,PARVA
CBX7,EPAS1
CBX7,CHN2
CBX7,SPNS2
CBX7,LRP2
CBX7,ID3
CBX7,PDE4DIP
CBX7,OBSL1
CBX7,P4HA2
CBX7,NRG1
CBX7,PHLDB2
CBX7,FGF10
CBX7,PTPN14
CBX7,KDELR3
CBX7,SH3PXD2B
CBX7,IGF2
CBX7,MSC
CBX7,EVA1A
CBX7,ANK
CBX7,COBLL1
CBX7,CCND2
CBX7,SMARCA2
CBX7,EMP2
CBX7,ARHGAP29
CBX7,KLF4
CBX7,BMP4
CBX7,ETS1
CBX7,NDRG1
CBX7,RETREG2
CBX7,NOTUM
CBX7,SEMA4C
CBX7,HNF1B
CBX7,HS3ST1
CBX7,MORC4
CBX7,DPP4
CBX7,BCAT1
CBX7,NID1
CBX7,MARCKS
CBX7,LAD1
CBX7,TIMP3
CBX7,VEGFA
CBX7,LOXL2
CBX7,IMPDH1
CBX7,COMMD3
CBX7,KIT
CBX7,MAPKAPK2
CBX7,KLF2
CBX7,TIMP2
CBX7,PCSK6
CBX7,FABP3
CBX7,LAMA1
CBX7,EPHA4
CBX7,PLK2
CBX7,GCNT1
CBX7,USP3
CBX7,CAR4
CBX7,SOX17
CBX7,LAMB1
CBX7,TTC7
CBX7,SFMBT2
CBX7,AQP3
CBX7,PXDN
CBX7,MT1
CBX7,MFSD1
CBX7,OAT
CBX7,ARHGEF5
CBX7,GSN
CBX7,ITGA9
CBX7,PDGFRA
CBX7,FGFR4
CBX7,CKB
CBX7,TENM4
CBX7,SHROOM3
CBX7,MCAM
CBX7,RUNX1
CBX7,CLCN5
CBX7,CEMIP
CBX7,HSPB1
CBX7,GHR
CBX7,RBM47
CBX7,CDKN1A
CBX7,TXNIP
CBX7,STARD10
CBX7,RTN1
CBX7,CDCA7
CBX7,TCEA3
CBX7,ANXA5
CBX7,VANGL1
CBX7,PHLDA3
CBX7,TYRO3
CBX7,SFI1
CBX7,RHPN1
CBX7,ADAM15
CBX7,ANXA2
CBX7,B2M
CBX7,DNMT3A
CBX7,F2R
CBX7,ARHGEF40
CBX7,SDC4
CBX7,SLC25A4
CBX7,UPP1
CBX7,AMFR
CBX7,RBMS1
CBX7,STARD8
CBX7,MME
CBX7,MYC
CBX7,ZYX
CBX7,LY75
CBX7,MTF2
CBX7,RNPEP
CBX7,NSMAF
CBX7,KRT8
