Gene1,Gene2
KLF6,BTG2
BTG2,KLF6
MYC,CCND2
RUNX1,CCND2
CCND1,CCND2
SOX2,CDH1
MYC,CDH1
TRP53,CDH1
BMP4,CDH1
KLF4,CDH1
AKT1,CDH1
SMAD7,CDH1
POU5F1,CDH1
CCND1,CDH1
NANOG,CDH1
ILK,CDH1
AKT1,HK2
TRP53,HK2
KAT2B,HIST1H2BK
KAT2B,MYC
MYC,KAT2B
KAT2B,RUNX1
RUNX1,KAT2B
KAT2B,TRP53
TRP53,KAT2B
KAT2B,DDX21
KAT2B,HIST1H4K
KAT2B,ZFPM1
ZFPM1,KAT2B
KAT2B,MYO1C
KAT2B,MSL3
KAT2B,RBPJ
RBPJ,KAT2B
KAT2B,ACTL6A
MCM6,UHRF1
MCM2,UHRF1
EHMT2,UHRF1
DNMT3A,UHRF1
AKT1,MKRN1
AKT1,SOX2
SOX2,AKT1
AKT1,NDRG1
AKT1,CCNB1
AKT1,MYC
MYC,AKT1
AKT1,HSPA5
AKT1,IGFBP2
AKT1,ICAM1
AKT1,GJA1
AKT1,LRP2
AKT1,KIT
AKT1,TRP53
TRP53,AKT1
AKT1,MDK
AKT1,VIM
AKT1,KLF4
KLF4,AKT1
AKT1,ID2
ID2,AKT1
AKT1,IGF2
AKT1,POU5F1
POU5F1,AKT1
AKT1,PDCD4
AKT1,PPP2R5A
AKT1,HSP90AA1
AKT1,HSP90B1
AKT1,CCNE1
AKT1,CCND1
CCND1,AKT1
AKT1,TCL1
AKT1,PIK3R1
AKT1,VEGFA
AKT1,ANXA5
AKT1,FN1
AKT1,CDKN1A
AKT1,EGR1
EGR1,AKT1
AKT1,MDM2
MDM2,AKT1
AKT1,TNS1
AKT1,GNG10
AKT1,HSPB1
HSPB1,AKT1
AKT1,PDK1
AKT1,PARP1
PARP1,AKT1
AKT1,NRG1
AKT1,ILK
ILK,AKT1
AKT1,PML
PML,AKT1
AKT1,TXNIP
BMP4,LAMB1
XBP1,CALR
EHMT2,PLOD3
HSPB1,MAPKAPK2
HSPB1,HSPA5
HSPB1,TRP53
TRP53,HSPB1
HSPB1,HSPA8
HSPB1,HSP90AA1
MYCN,NDRG1
BMP4,APP
MCM6,MSH6
MCM2,MSH6
TRIM28,POU5F1
POU5F1,TRIM28
TRIM28,ZFP57
TRIM28,ZFP710
TRP53,KIT
BMP4,KIT
POU5F1,KIT
MCM6,CDC20
MYBL2,CDC20
MCM2,CDC20
TRP53,CDC20
RLIM,CDC20
KPNA2,CDC20
TRP53,EPHA2
ILK,NPHS1
TRP53,KRT19
NANOG,SOX2
SOX2,NANOG
NANOG,ALPL
NANOG,MYC
MYC,NANOG
NANOG,ESRRB
ESRRB,NANOG
NANOG,FBXO15
NANOG,DPPA4
NANOG,TRP53
TRP53,NANOG
NANOG,BMP4
BMP4,NANOG
NANOG,ZFP42
ZFP42,NANOG
NANOG,KLF4
KLF4,NANOG
NANOG,POU5F1
POU5F1,NANOG
NANOG,JARID2
JARID2,NANOG
NANOG,TDGF1
NANOG,NR0B1
NR0B1,NANOG
NANOG,DPPA2
NANOG,GATA4
GATA4,NANOG
NANOG,TET1
NANOG,TET2
NANOG,UTF1
UTF1,NANOG
NANOG,SOX17
SOX17,NANOG
NANOG,GATA6
GATA6,NANOG
NANOG,TBX3
TBX3,NANOG
NANOG,KLF2
KLF2,NANOG
NANOG,LEFTY1
NANOG,FGF4
NANOG,TFCP2L1
TFCP2L1,NANOG
NANOG,ZIC3
ZIC3,NANOG
EHMT2,HIST1H2BK
EHMT2,MYC
MYC,EHMT2
EHMT2,UBE2C
EHMT2,PLOD1
EHMT2,FZR1
EHMT2,TRP53
TRP53,EHMT2
EHMT2,PLOD2
EHMT2,POU5F1
POU5F1,EHMT2
EHMT2,JARID2
JARID2,EHMT2
EHMT2,RBBP7
RBBP7,EHMT2
EHMT2,SUZ12
SUZ12,EHMT2
EHMT2,DNMT3A
DNMT3A,EHMT2
DAB2,HSPA8
CCND1,HSPA8
PCBD1,QDPR
PHC1,MAPKAPK2
SUZ12,MTF2
MTF2,SUZ12
SUZ12,RBBP7
RBBP7,SUZ12
SUZ12,HIST1H2BK
SUZ12,PHC1
PHC1,SUZ12
SUZ12,EED
EED,SUZ12
SUZ12,HIST1H2AF
SUZ12,DNMT3A
DNMT3A,SUZ12
SUZ12,JARID2
JARID2,SUZ12
SUZ12,CBX7
CBX7,SUZ12
SUZ12,HIST1H2AK
ETV4,FGF3
ETV4,DUSP6
ETV4,FGF10
MYBL2,CCNB1
MYBL2,UBE2C
MYBL2,CCNE1
MYBL2,CCND1
CCND1,MYBL2
MYBL2,CCNB2
MYBL2,CLTC
KPNA2,RRM2
KPNA2,CCNB1
KPNA2,UBE2C
KPNA2,NUSAP1
KPNA2,PCNA
KPNA2,TPX2
KPNA2,CCNB2
TBX3,SOX2
SOX2,TBX3
TBX3,ESRRB
ESRRB,TBX3
TBX3,BMP4
BMP4,TBX3
TBX3,KLF4
KLF4,TBX3
TBX3,POU5F1
POU5F1,TBX3
TBX3,GATA6
GATA6,TBX3
TRP53,APAF1
TRP53,TIMP3
XBP1,HSP90B1
BMP4,HSP90B1
DDIT3,HSP90B1
PCBD1,HNF1B
HNF1B,PCBD1
MDM2,PDGFRA
MDM2,MYC
MYC,MDM2
MDM2,TRP53
TRP53,MDM2
MDM2,SGK1
MDM2,CCND1
CCND1,MDM2
MDM2,NUP210
MDM2,MYO6
MDM2,CDKN1A
MDM2,CCNG1
MDM2,FGFR3
MDM2,PML
PML,MDM2
TRP53,CCNG1
BTG2,IER2
BTG2,EGR1
EGR1,BTG2
BTG2,TRP53
TRP53,BTG2
ID2,BMP4
BMP4,ID2
ID2,ETS1
ETS1,ID2
MCM6,RRM2
MCM2,RRM2
TRP53,RRM2
DNMT3A,MTF2
MTF2,DNMT3A
DNMT3A,RBBP7
RBBP7,DNMT3A
DNMT3A,HIST1H2BK
DNMT3A,TET1
DNMT3A,TET2
DNMT3A,MYC
MYC,DNMT3A
DNMT3A,EED
EED,DNMT3A
DNMT3A,HELLS
DNMT3A,TRP53
TRP53,DNMT3A
DNMT3A,HIST1H2AF
DNMT3A,SMARCA2
SMARCA2,DNMT3A
DNMT3A,HIST1H4K
DNMT3A,JARID2
JARID2,DNMT3A
DNMT3A,ACTL6A
DNMT3A,HIST1H2AK
DNMT3A,CCND1
CCND1,DNMT3A
TRP53,RFFL
CREB3L2,SEC23A
SOX2,FGF10
BMP4,FGF10
BMP4,FST
XBP1,DNAJC3
BMP4,DNAJC3
MYC,SOX2
SOX2,MYC
MYC,HIST1H2BK
MYC,CCNB1
MYC,KDM5B
KDM5B,MYC
MYC,SLC1A5
MYC,ODC1
MYC,TRP53
TRP53,MYC
MYC,BMP4
BMP4,MYC
MYC,KLF4
KLF4,MYC
MYC,POU5F1
POU5F1,MYC
MYC,GLS
MYC,CCNE1
MYC,CCND1
CCND1,MYC
MYC,VEGFA
MYC,ANXA5
MYC,CDKN1A
MYC,TCF7L2
TCF7L2,MYC
MYC,PARP1
PARP1,MYC
ILK,PARVB
DAB2,TFRC
RUNX1,HIST1H2BK
RUNX1,CTBP2
RUNX1,PHC1
PHC1,RUNX1
RUNX1,SMARCA2
SMARCA2,RUNX1
RUNX1,ETS1
ETS1,RUNX1
RUNX1,ACTL6A
RUNX1,ZFPM1
ZFPM1,RUNX1
RUNX1,CCND3
RUNX1,PML
PML,RUNX1
RUNX1,CCND1
CCND1,RUNX1
TRP53,CDKN1A
KLF4,CDKN1A
CCND1,CDKN1A
TFEB,CTSD
TFEB,LAMP2
TFEB,LAMP1
EPAS1,CITED2
CITED2,EPAS1
EPAS1,PSME2
EPAS1,COMMD3
MCM6,MSH2
MCM2,MSH2
POU5F1,MYCN
MYCN,POU5F1
POU5F1,SOX2
SOX2,POU5F1
POU5F1,ESRRB
ESRRB,POU5F1
POU5F1,FBXO15
POU5F1,DPPA4
POU5F1,TRP53
TRP53,POU5F1
POU5F1,BMP4
BMP4,POU5F1
POU5F1,ZFP42
ZFP42,POU5F1
POU5F1,KLF4
KLF4,POU5F1
POU5F1,TDGF1
POU5F1,NR0B1
NR0B1,POU5F1
POU5F1,CCND1
CCND1,POU5F1
POU5F1,TCL1
POU5F1,GATA4
GATA4,POU5F1
POU5F1,TET1
POU5F1,TET2
POU5F1,UTF1
UTF1,POU5F1
POU5F1,SOX17
SOX17,POU5F1
POU5F1,GATA6
GATA6,POU5F1
POU5F1,KLF2
KLF2,POU5F1
POU5F1,LEFTY1
POU5F1,FGF4
POU5F1,TFCP2L1
TFCP2L1,POU5F1
BMP4,DKK1
SMARCA2,CCND1
CCND1,SMARCA2
SMARCA2,ACTG1
SMARCA2,ACTL6A
MCM6,HELLS
MCM2,HELLS
NR0B1,ESRRB
ESRRB,NR0B1
NR0B1,ZFP42
ZFP42,NR0B1
XBP1,P4HB
BMP4,P4HB
DDIT3,XBP1
XBP1,DDIT3
DDIT3,HSPA5
DDIT3,HERPUD1
SMAD7,NEDD4
SMAD7,BMP4
BMP4,SMAD7
SOX17,GATA4
GATA4,SOX17
SOX17,SOX2
SOX2,SOX17
SOX17,GATA6
GATA6,SOX17
SOX17,BMP4
BMP4,SOX17
SOX17,KLF4
KLF4,SOX17
SOX17,TCF7L2
TCF7L2,SOX17
SOX17,SOX7
SOX7,SOX17
FOXH1,CFC1
TRP53,SERPINE2
MCM6,TOP2A
MCM6,CCNB1
MCM6,MCM2
MCM2,MCM6
MCM6,PCNA
MCM6,MCM10
MCM6,CCNB2
MCM6,RIF1
MCM6,NASP
MCM6,BUB1B
TFCP2L1,ESRRB
ESRRB,TFCP2L1
TFCP2L1,KLF4
KLF4,TFCP2L1
BMP4,LAMC1
PARP1,TRP53
TRP53,PARP1
PARP1,PCNA
PARP1,HSP90AA1
PARP1,ANXA5
MCM2,MCM10
CCND1,MCM10
XBP1,PDIA3
MCM2,PCNA
CCND1,PCNA
BMP4,CST3
TRP53,ACTL6A
CCND1,ACTL6A
TRP53,ANXA5
CCND1,ANXA5
MCM2,NASP
RBBP7,NASP
TRP53,STMN1
TRP53,PRKAB1
DTX1,RBPJ
RBPJ,DTX1
BMP4,CALU
RLIM,MKRN1
PML,NUP210
BMP4,MFGE8
ILK,PARVA
ILK,TMSB4X
ILK,CCND1
CCND1,ILK
ILK,PIK3R1
RBBP7,HIST1H2BK
RBBP7,EED
EED,RBBP7
RBBP7,TRP53
TRP53,RBBP7
RBBP7,HIST1H4K
RBBP7,JARID2
JARID2,RBBP7
RBBP7,CBX7
CBX7,RBBP7
RBBP7,MTF2
MTF2,RBBP7
RBBP7,PHC1
PHC1,RBBP7
RBBP7,HIST1H2AF
RBBP7,COMMD3
RBBP7,HIST1H2AK
RBBP7,PML
PML,RBBP7
BMP4,GAS6
ETS1,TRP53
TRP53,ETS1
RLIM,NEDD4
MCM2,CCNB2
TRP53,ANXA2
ZFP42,TDGF1
UTF1,TDGF1
FOXH1,TDGF1
CREB3L2,SEC24D
KLF4,TCL1
ESRRB,TCL1
DAB2,MYO6
FOXH1,LEFTY1
DAB2,LDLRAP1
MCM2,BUB1B
TRP53,BUB1B
BMP4,EVA1A
CITED2,TRP53
TRP53,CITED2
CREB3L2,CREB3
CREB3,CREB3L2
CCND1,CCND3
RBPJ,CTBP2
RBPJ,TRP53
TRP53,RBPJ
SOX2,LEFTY1
KLF4,LEFTY1
GATA6,SOX2
SOX2,GATA6
GATA6,KLF4
KLF4,GATA6
GATA6,ZFPM1
ZFPM1,GATA6
GATA6,SOX7
SOX7,GATA6
HIST1H1D,HIST1H1B
HIST1H1B,HIST1H1D
HIST1H1D,HIST1H1A
HIST1H1D,TRP53
TRP53,HIST1H1D
HIST1H1D,HIST1H4K
RLIM,FBXO15
UTF1,FBXO15
ESRRB,FBXO15
MYCN,SOX2
SOX2,MYCN
