Gene1,Gene2
BCL3,CCND1
BCL3,CTSL
BCL3,RUNX1
DNMT3A,MT1
DNMT3A,NANOG
DNMT3A,POU5F1
EPAS1,POU5F1
ESRRB,NANOG
ESRRB,NR0B1
GATA4,HSPA5
GATA4,ID2
HSPB1,CDKN1A
ID2,ALPL
JARID2,CCND1
KAT2B,GATA4
KLF2,THBD
KLF6,CDKN1A
KLF6,SERPINH1
KPNA2,KLF2
MYBL2,POU5F1
MYCN,IGFBP2
MYCN,NDRG1
NANOG,ESRRB
NANOG,GATA6
NANOG,NR0B1
NANOG,ZFP42
NANOG,ZFP57
NR0B1,POU5F1
PARP1,FN1
POU5F1,CDKN1A
POU5F1,FGF4
POU5F1,GATA6
POU5F1,KLF2
POU5F1,LEFTY1
POU5F1,NANOG
POU5F1,NR0B1
POU5F1,SOX2
POU5F1,TET2
POU5F1,UTF1
POU5F1,ZFP42
RBPJ,CDKN1A
SOX17,CCND1
SOX17,LAMA1
SOX2,CCND1
SOX2,FGF4
SOX2,LEFTY1
SOX2,MYCN
SOX2,NANOG
SOX2,POU5F1
SOX2,UTF1
SOX7,FGF3
SOX7,LAMA1
TRP53,CCNB1
TRP53,CDKN1A
TRP53,ID2
TRP53,KLF2
TRP53,MT1
TRP53,NANOG
TRP53,NDRG1
TRP53,PML
TRP53,RUNX1
TRP53,UPP1
XBP1,VEGFA
DAB2,APP
DAB2,GATA6
DAB2,LRP2
DAB2,VEGFA
EPAS1,VEGFA
ESRRB,ALPL
ESRRB,APOE
ESRRB,ASS1
ESRRB,ATP13A3
ESRRB,BCAT1
ESRRB,BCL3
ESRRB,BMPER
ESRRB,CALU
ESRRB,CAR2
ESRRB,CKB
ESRRB,COL4A2
ESRRB,COMMD3
ESRRB,DNMT3A
ESRRB,DPPA2
ESRRB,EIF4A2
ESRRB,EPHA4
ESRRB,ETV5
ESRRB,FABP3
ESRRB,FAM129B
ESRRB,FBLIM1
ESRRB,FGF4
ESRRB,FLRT3
ESRRB,FXYD6
ESRRB,HMGA1
ESRRB,IFITM2
ESRRB,IGFBP2
ESRRB,ITPK1
ESRRB,JAM2
ESRRB,KANK3
ESRRB,KDM5B
ESRRB,LAMA1
ESRRB,LY6G6E
ESRRB,MIR1192
ESRRB,MIR291B
ESRRB,MYBL2
ESRRB,MYCN
ESRRB,MYH9
ESRRB,NDRG4
ESRRB,NOTUM
ESRRB,PCOLCE
ESRRB,PDPN
ESRRB,PML
ESRRB,POU5F1
ESRRB,PTH1R
ESRRB,RAB3IL1
ESRRB,RASGRP2
ESRRB,RBPJ
ESRRB,RBPMS2
ESRRB,SEPT1
ESRRB,SGK1
ESRRB,SLC25A5
ESRRB,SLC6A8
ESRRB,SNORA81
ESRRB,SNORD35B
ESRRB,SPP1
ESRRB,SPRY2
ESRRB,SRI
ESRRB,TDH
ESRRB,TFCP2L1
ESRRB,THBD
ESRRB,TIMP3
ESRRB,TRH
ESRRB,TXNDC12
ESRRB,VEGFA
ESRRB,ZFP42
GATA4,GATA6
GATA4,JARID2
GATA4,POU5F1
GATA6,CALR
GATA6,CDKN1A
GATA6,DAB2
GATA6,GATA4
GATA6,SOX17
GATA6,ZFPM1
ID2,CCND1
ID2,CDKN1A
ID2,TRP53
ID2,VEGFA
JARID2,GATA4
KAT2B,CCND1
KAT2B,HIST1H3H
KAT2B,KLF6
KAT2B,RBPJ
KAT2B,TRP53
KLF3,CTBP2
KLF6,CCND1
KLF6,KAT2B
MYBL2,CCND1
MYBL2,ESRRB
MYBL2,FGF4
MYBL2,NR0B1
MYBL2,TFCP2L1
MYBL2,UCHL1
MYCN,ALPL
MYCN,AMPD2
MYCN,ASS1
MYCN,ATP13A3
MYCN,BCAT1
MYCN,BNIP3
MYCN,CALR
MYCN,CCND1
MYCN,CD63
MYCN,CHCHD10
MYCN,CTBP2
MYCN,CTSD
MYCN,CTSL
MYCN,DKC1
MYCN,DNMT3A
MYCN,EDA2R
MYCN,FABP3
MYCN,FRMD4A
MYCN,GNAS
MYCN,GNPDA1
MYCN,HIST1H2BF
MYCN,HIST1H2BK
MYCN,HIST1H2BL
MYCN,HIST1H2BN
MYCN,HMGA1
MYCN,HSP90AA1
MYCN,HSPG2
MYCN,IFI30
MYCN,IMPDH1
MYCN,INSIG1
MYCN,KDM3A
MYCN,KDM5B
MYCN,KIT
MYCN,KPNA2
MYCN,LTBP4
MYCN,MANF
MYCN,MIR1949
MYCN,MIR5121
MYCN,MT2
MYCN,NUP210
MYCN,ODC1
MYCN,P4HB
MYCN,PARP1
MYCN,PLTP
MYCN,SERPINE2
MYCN,SLC16A1
MYCN,SLC7A6
MYCN,SNORA26
MYCN,SNORA3
MYCN,SNORA74A
MYCN,SNORD32A
MYCN,SNORD33
MYCN,SNORD34
MYCN,SNORD35A
MYCN,SNORD35B
MYCN,SNORD93
MYCN,SOCS2
MYCN,SOX2
MYCN,TDH
MYCN,TET2
MYCN,TFRC
MYCN,TRP53
MYCN,TXNDC12
MYCN,TXNDC5
MYCN,UBE2C
MYCN,UCHL1
MYCN,UNG
NANOG,DNMT3A
NANOG,HSPB1
NANOG,LEFTY1
NANOG,MOV10
NANOG,MSH6
NANOG,PARP1
NANOG,PFKP
NANOG,PHC1
NANOG,PML
NANOG,POU5F1
NANOG,RCC2
NANOG,SOX2
NANOG,TDH
NANOG,TOP2A
NANOG,TUBA4A
NANOG,TUBB2B
NR0B1,ESRRB
NR0B1,MYBL2
NR0B1,NANOG
NR0B1,TFCP2L1
NR0B1,ZFP42
PARP1,NANOG
PARP1,POU5F1
PML,B2M
PML,MT2
PML,NANOG
PML,POU5F1
PML,RUNX1
POU5F1,AMOTL2
POU5F1,ANXA2
POU5F1,CALU
POU5F1,CDC20
POU5F1,CTBP2
POU5F1,CUBN
POU5F1,DNMT3A
POU5F1,ESRRB
POU5F1,GATA4
POU5F1,HSPG2
POU5F1,KPNA2
POU5F1,LAMA1
POU5F1,LAMB1
POU5F1,LAMC1
POU5F1,MSH6
POU5F1,MYBL2
POU5F1,NEDD4
POU5F1,P4HA1
POU5F1,PARP1
POU5F1,PHC1
POU5F1,PML
POU5F1,RBPJ
POU5F1,SERPINH1
POU5F1,SOX17
POU5F1,SPP1
POU5F1,TDGF1
POU5F1,TDH
POU5F1,TET1
POU5F1,TFCP2L1
POU5F1,TOP2A
RBPJ,CTBP2
RBPJ,KAT2B
RBPJ,POU5F1
RBPJ,SOX2
SOX17,GATA6
SOX17,POU5F1
SOX2,FGF10
SOX2,JAM2
SOX2,PLA2G1B
SOX2,RBPJ
SOX2,SHROOM3
SOX2,SPP1
TFCP2L1,ANXA5
TFCP2L1,ASS1
TFCP2L1,BCAT1
TFCP2L1,CCNG1
TFCP2L1,CD63
TFCP2L1,CDC42SE2
TFCP2L1,DNMT3A
TFCP2L1,ESRRB
TFCP2L1,ETV5
TFCP2L1,FAM25C
TFCP2L1,FGF4
TFCP2L1,FN1
TFCP2L1,GAS6
TFCP2L1,GDPD5
TFCP2L1,HIST1H2BF
TFCP2L1,HKDC1
TFCP2L1,HMGA1
TFCP2L1,HSP90AA1
TFCP2L1,HSPB1
TFCP2L1,IGFBP2
TFCP2L1,LAPTM5
TFCP2L1,LY6G6E
TFCP2L1,MIR1949
TFCP2L1,MSH6
TFCP2L1,MT2
TFCP2L1,MYBL2
TFCP2L1,MYCN
TFCP2L1,NANOG
TFCP2L1,NR0B1
TFCP2L1,PARP1
TFCP2L1,PHC1
TFCP2L1,PMM1
TFCP2L1,POU5F1
TFCP2L1,SFI1
TFCP2L1,SNORA74A
TFCP2L1,SNURF
TFCP2L1,SPRY4
TFCP2L1,TAGLN2
TFCP2L1,TINAGL1
TFCP2L1,TOP2A
TFCP2L1,UPP1
TFCP2L1,ZFP57
TFCP2L1,ZFPM1
TGIF1,CREB3L2
TGIF1,ID2
TGIF1,ZC3H7A
TRP53,2810025M15RIK
TRP53,CCND1
TRP53,CCNG1
TRP53,CLDN6
TRP53,EDA2R
TRP53,EPHA2
TRP53,EPS8
TRP53,ETV5
TRP53,FGFR3
TRP53,GPX3
TRP53,HIST1H3H
TRP53,IGF2
TRP53,KAT2B
TRP53,KIT
TRP53,LRP2
TRP53,NRG1
TRP53,PHLDA3
TRP53,PODXL
TRP53,RAB3IL1
TRP53,RRM2
