Gene1,Gene2,Score
BMI1,GATA2,375.0
BMI1,PPM1H,617.0
BMI1,ARMC8,638.0
BMI1,TRIB2,524.0
BMI1,ATP7B,334.0
BMI1,ALG11,334.0
BMI1,HOXA9,337.0
BMI1,MYO1D,331.0
BMI1,HLF,265.0
BMI1,GOLM1,206.0
BMI1,LCP1,332.0
BMI1,ASNS,168.0
BMI1,TMEM56,258.0
BMI1,TIFA,228.0
BMI1,SPHK1,159.0
BMI1,MEF2C,255.0
BMI1,TSPAN33,152.0
BMI1,GATM,212.0
BMI1,PIK3C3,155.0
BMI1,SQOR,134.0
BMI1,GFI1B,136.0
BMI1,METAP1D,115.0
BMI1,PLCG2,124.0
BMI1,SGO1,199.0
BMI1,ST8SIA4,187.0
BMI1,SNX10,183.0
BMI1,SLC25A21,104.0
BMI1,PSMF1,174.0
BMI1,PDE4B,173.0
BMI1,WDR75,154.0
BMI1,PRKCH,151.0
BMI1,GNB4,148.0
BMI1,ST3GAL6,147.0
BMI1,ANGPT1,147.0
BMI1,EPDR1,139.0
BMI1,CHAMP1,135.0
BMI1,RCOR1,130.0
BMI1,MYCN,122.0
BMI1,EYA2,121.0
BMI1,SLC11A2,115.0
BMI1,GCNT2,114.0
BMI1,BTRC,103.0
BMI1,IL27RA,101.0
BMI1,ANK,101.0
CBFB,MSH6,2386.0
CBFB,SLC35A1,2378.0
CBFB,COPG1,2085.0
CBFB,ORC5,1604.0
CBFB,HEMGN,2379.0
CBFB,CALU,1753.0
CBFB,LIMD2,2036.0
CBFB,TIMM29,1667.0
CBFB,OTUD6B,1505.0
CBFB,WDR5,1641.0
CBFB,NOP2,1401.0
CBFB,CLPTM1L,1319.0
CBFB,DNAJC11,1608.0
CBFB,SEH1L,1380.0
CBFB,TES,1896.0
CBFB,DNAJC10,1166.0
CBFB,SNRNP200,1979.0
CBFB,NDOR1,1274.0
CBFB,ACSS2,1070.0
CBFB,PCYT1A,1583.0
CBFB,GARS,1106.0
CBFB,NUF2,1801.0
CBFB,RANGAP1,1371.0
CBFB,ESYT2,1223.0
CBFB,ARL6IP6,1337.0
CBFB,HSPA4L,1081.0
CBFB,RPRD1B,2128.0
CBFB,ATG16L1,1624.0
CBFB,VPS26C,927.0
CBFB,PMPCA,1004.0
CBFB,ERLIN2,1410.0
CBFB,PKM,1218.0
CBFB,ARMT1,1221.0
CBFB,RCOR1,1087.0
CBFB,UNK,1188.0
CBFB,DCAF13,1211.0
CBFB,SPNS2,1482.0
CBFB,PPAT,1126.0
CBFB,CASP2,1016.0
CBFB,NUDCD3,1302.0
CBFB,CTPS,1345.0
CBFB,PRKCH,1078.0
CBFB,MORC3,1068.0
CBFB,PGLYRP2,1575.0
CBFB,ATAD2,1446.0
CBFB,SUPT7L,2335.0
CBFB,TMEM129,1328.0
CBFB,TACC3,1328.0
CBFB,DDX20,1368.0
CBFB,EIF1AD,1821.0
CBFB,TFR2,1464.0
CBFB,ATP2A3,1420.0
CBFB,MIS12,1022.0
CBFB,FAM76B,1047.0
CBFB,GOSR2,1101.0
CBFB,MIS18BP1,1481.0
CBFB,WARS,1191.0
CBFB,PFKM,937.0
CBFB,AP5M1,1224.0
CBFB,STK25,1091.0
CBFB,NCEH1,1122.0
CBFB,CSTF2,1106.0
CBFB,CLPX,1189.0
CBFB,CRNKL1,1428.0
CBFB,RABGGTB,883.0
CBFB,GMFB,1137.0
CBFB,POLE3,1723.0
CBFB,ACAP1,1177.0
CBFB,EYA2,1293.0
CBFB,PWP2,1314.0
CBFB,INCENP,1145.0
CBFB,BIRC5,1024.0
CBFB,DUS1L,1358.0
CBFB,RAD51AP1,1497.0
CBFB,REXO4,1500.0
CBFB,FIGNL1,981.0
CBFB,PJA2,915.0
CBFB,CLIC4,813.0
CBFB,TRMT2A,1469.0
CBFB,9430015G10RIK,1079.0
CBFB,COLGALT1,1178.0
CBFB,PLEC,753.0
CBFB,GYPC,1019.0
CBFB,CMPK2,1170.0
CBFB,FAR1,976.0
CBFB,RASSF5,1125.0
CBFB,DDHD2,836.0
CBFB,1700017B05RIK,976.0
CBFB,PIK3R2,822.0
CBFB,ARMC8,1471.0
CBFB,NUDT9,1013.0
CBFB,TREML2,905.0
CBFB,UBA5,1483.0
CBFB,WDR36,1055.0
CBFB,ANAPC2,1000.0
CBFB,DUSP2,1331.0
CBFB,GTF2H1,1221.0
CBFB,SERPINB9,857.0
CBFB,DPH6,1064.0
CBFB,RNF115,852.0
CBFB,CSGALNACT2,1052.0
CBFB,PNO1,1169.0
CBFB,RASAL3,1088.0
CBFB,CENPE,1089.0
CBFB,SLC14A1,1092.0
CBFB,PSMF1,1382.0
CBFB,NGLY1,923.0
CBFB,FEM1B,1103.0
CBFB,C330018D20RIK,932.0
CBFB,DHX33,1248.0
CBFB,CUL2,1436.0
CBFB,CHMP7,1273.0
CBFB,POLD1,926.0
CBFB,CHORDC1,1069.0
CBFB,PHETA2,1429.0
CBFB,NIF3L1,924.0
CBFB,UBAC1,918.0
CBFB,SCRN3,1474.0
CBFB,EPS15,797.0
CBFB,CDC45,1004.0
CBFB,XPC,803.0
CBFB,MTMR6,1275.0
CBFB,CDCA5,1146.0
CBFB,YPEL3,1030.0
CBFB,ZDHHC6,1362.0
CBFB,CDK1,945.0
CBFB,ABHD16A,917.0
CBFB,KAT7,851.0
CBFB,FCHSD2,895.0
CBFB,PRKAB1,1011.0
CBFB,ACSS1,1109.0
