Gene1,Gene2
BMI1,CDK1
E2F4,MYCN
E2F4,RAD51
EPOR,CISH
FOS,JUN
FOS,KRT18
FOS,MT1
GATA1,CDC6
GFI1B,ELF4
IRF1,GBP2
JUN,ALDH1A1
JUN,ASAH1
JUN,CTSE
JUN,FOS
JUN,GCLC
JUN,KRT18
JUN,ODC1
JUN,PLIN2
MEF2C,JUN
MYCN,NDRG1
MYCN,PTDSS1
PWP1,STAT3
SMAD2,RGCC
STAT3,EPOR
STAT3,FOS
STAT3,JAK3
STAT3,LY6A
STAT3,MT1
ABL1,CD55
ABL1,CISH
ABL1,CRK
BMI1,BAP1
BMI1,CBFB
CBFB,BMI1
CBFB,TIE1
CENPK,AURKB
CENPK,BIRC5
CENPK,BUB1B
CENPK,CCNA2
CENPK,CCNB1
CENPK,CDC20
CENPK,CDCA5
CENPK,CENPA
CENPK,CENPE
CENPK,CENPL
CENPK,CENPO
CENPK,CKAP2L
CENPK,KIF11
CENPK,MIS12
CENPK,MIS18BP1
CENPK,NCAPG
CENPK,NCAPG2
CENPK,NDE1
CENPK,NDEL1
CENPK,NUP107
CENPK,NUP85
CENPK,NUSAP1
CENPK,PBK
CENPK,PLK1
CENPK,PRIM1
CENPK,RANGAP1
CENPK,SEH1L
CENPK,SHCBP1
CENPK,SPC24
CENPK,SPC25
CENPK,TPX2
CITED4,ZDHHC6
CNOT7,CNOT10
DDX20,GEMIN5
DDX20,NUP107
DDX20,NUP85
DDX20,NUP88
DDX20,PHAX
DDX20,SEH1L
E2F4,CCNA2
E2F4,CDK1
E2F4,DHFR
E2F4,SMAD2
E2F4,TOP2A
E2F6,RPA1
E2F6,RPA2
ERCC8,CUL4A
ERCC8,DCAF11
ERCC8,DCAF13
ERCC8,DCAF4
ERCC8,POLD1
ERCC8,POLR2B
ERCC8,XAB2
ERCC8,XPC
FOS,ABCF3
FOS,BTK
FOS,CCNA2
FOS,COL5A1
FOS,CTNNA1
FOS,DUSP1
FOS,E2F6
FOS,EFTUD2
FOS,ELF4
FOS,ICA1
FOS,LMNA
FOS,LSP1
FOS,MAPK9
FOS,MFNG
FOS,MT2
FOS,OPTN
FOS,PLEC
FOS,PPP2R1B
FOS,PROCR
FOS,PRPS1
FOS,RAB37
FOS,RNF115
FOS,SCARF1
FOS,STAT3
FOS,TCF12
FOS,UNK
FOS,ZFP36
