Gene1,Gene2
MCM3,CDC45
ORC2,CDC45
MCM5,CDC45
MCM4,CDC45
MCM2,CDC45
RAD51,CDC45
RAD51,RPA1
POLR2B,RPA1
MCM5,RPA1
ERCC8,RPA1
GTF2H1,RPA1
E2F6,RPA1
MCM3,RPA1
ORC2,RPA1
MCM4,RPA1
MCM2,RPA1
XAB2,RPA1
MCM3,UHRF1
MCM5,UHRF1
MCM4,UHRF1
MCM2,UHRF1
RAD51,UHRF1
ELL2,PHAX
ELL2,RPRD1B
ELL2,POLR2B
POLR2B,ELL2
ELL2,GTF2F1
GTF2F1,ELL2
ELL2,SNAPC3
SNAPC3,ELL2
ELL2,INTS8
POLR2B,CRNKL1
GTF2F1,CRNKL1
XAB2,CRNKL1
PWP1,DHX33
PWP1,WDR36
PWP1,CTPS
PWP1,POLR1B
POLR1B,PWP1
PWP1,TBL3
PWP1,NOLC1
PWP1,PUS7
PWP1,DCAF13
PWP1,BYSL
PWP1,TRMT11
PWP1,PNO1
PWP1,NOP2
PWP1,FTSJ3
PWP1,PWP2
PWP1,REXO4
REXO4,PWP1
PWP1,WDR75
GTF2F1,PHAX
GTF2F1,RPRD1B
GTF2F1,POLR2B
POLR2B,GTF2F1
GTF2F1,PPIL4
GTF2F1,TAF12
TAF12,GTF2F1
GTF2F1,GTF2H1
GTF2H1,GTF2F1
GTF2F1,XAB2
XAB2,GTF2F1
GTF2F1,SNAPC3
SNAPC3,GTF2F1
GTF2F1,CSTF2
GTF2F1,INTS8
GTF2F1,SNRNP200
GTF2F1,EFTUD2
GTF2F1,PRPF4
STAT3,EBI3
POLR1B,ABCF3
MAPK9,BID
MYCN,NDRG1
MCM3,MSH6
MCM4,MSH6
MCM2,MSH6
XRCC5,MSH6
RAD51,MSH6
MCM5,MSH6
ERCC8,MSH6
XPC,MSH6
STAT3,IL27RA
MCM3,ASF1B
MCM4,ASF1B
MCM2,ASF1B
RAD51,ASF1B
MCM5,ASF1B
EPOR,CISH
EPOR,GATA1
GATA1,EPOR
EPOR,JAK3
MCM3,CDC20
MCM4,CDC20
CENPK,CDC20
MCM2,CDC20
RAD51,CDC20
MEF2C,CDC20
MCM5,CDC20
MIS18BP1,CDC20
MCM3,CDT1
ORC2,CDT1
MCM5,CDT1
MCM4,CDT1
MCM2,CDT1
GTF2H1,POLR2B
POLR2B,GTF2H1
GTF2H1,COPS8
GTF2H1,POLR1B
POLR1B,GTF2H1
GTF2H1,TAF12
TAF12,GTF2H1
GTF2H1,ERCC8
ERCC8,GTF2H1
GTF2H1,RFC4
GTF2H1,XAB2
XAB2,GTF2H1
GTF2H1,LIG1
GTF2H1,POLD1
GTF2H1,RPA2
GTF2H1,POLE3
GTF2H1,XPC
XPC,GTF2H1
GTF2H1,RFC5
GTF2H1,CUL4A
MCM3,GMNN
ORC2,GMNN
MCM5,GMNN
MCM4,GMNN
MCM2,GMNN
POLR2B,PHAX
SNAPC3,PHAX
DDX20,PHAX
MCM3,KIF11
MCM4,KIF11
MCM2,KIF11
RAD51,KIF11
MCM5,KIF11
MIS18BP1,KIF11
E2F4,CDC6
E2F4,CCNE2
E2F4,CDK1
E2F4,CCNE1
E2F4,CCNA2
E2F4,SMAD2
SMAD2,E2F4
GATA2,CBFB
CBFB,GATA2
GATA2,TCF12
TCF12,GATA2
GATA2,KLF1
KLF1,GATA2
GATA2,GFI1B
GFI1B,GATA2
FEM1B,FBXW5
ERCC8,FBXW5
XAB2,PPIL4
POLR2B,PPIL4
XAB2,CUL4A
POLR2B,CUL4A
ERCC8,CUL4A
XPC,CUL4A
ABL1,CRK
MAPK9,CRK
CENPK,NDEL1
XAB2,DHX33
XAB2,POLR2B
POLR2B,XAB2
XAB2,ERCC8
ERCC8,XAB2
XAB2,RFC4
XAB2,LIG1
XAB2,POLD1
XAB2,CSTF2
XAB2,RPA2
XAB2,POLE3
XAB2,RFC5
XAB2,SNRNP200
XAB2,EFTUD2
XAB2,PRPF4
MCM3,FBXO5
POLR1B,TRMT11
REXO4,TRMT11
MCM3,CDK1
ORC2,CDK1
H1F0,CDK1
MCM4,CDK1
CENPK,CDK1
CBFB,CDK1
MCM2,CDK1
RAD51,CDK1
MCM5,CDK1
MIS18BP1,CDK1
TOPORS,NEDD1
POLR1B,PNO1
RAD51,HMMR
MIS18BP1,HMMR
MAPK9,FOS
FOS,MAPK9
MAPK9,MAPKAPK3
MAPK9,JUN
JUN,MAPK9
MAPK9,DUSP2
MAPK9,PCYT1A
MAPK9,DUSP1
RAD51,HUS1
E2F6,BMI1
BMI1,E2F6
E2F6,WDR5
E2F6,E2F8
E2F8,E2F6
E2F6,POLD1
E2F6,RPA2
DDX58,CMPK2
MCM3,RRM2
MCM4,RRM2
MCM2,RRM2
RAD51,RRM2
MCM5,RRM2
MIS18BP1,RRM2
POLR1B,FTSJ3
REXO4,FTSJ3
CENPK,NUP85
PML,NUP85
MCM3,AURKB
MYCN,AURKB
MCM4,AURKB
CENPK,AURKB
MCM2,AURKB
RAD51,AURKB
MCM5,AURKB
MIS18BP1,AURKB
POLR2B,EFTUD2
NFKBIA,PSMD9
NFKBIA,PSMD6
NFKBIA,PSMF1
NFKBIA,CHUK
NFKBIA,PSMD5
NFKBIA,BTRC
ERCC8,DCAF4
FOS,STAT3
STAT3,FOS
FOS,JUN
JUN,FOS
FOS,DUSP1
MCM4,DHFR
CENPK,PBK
CENPK,PPP2R1B
CENPK,CENPE
CENPK,NCAPG2
CENPK,RAD21
CENPK,CDCA5
CENPK,NUP107
CENPK,NCAPG
CENPK,CENPA
CENPK,BIRC5
CENPK,NDE1
CENPK,SPC25
CENPK,MIS12
CENPK,CCNB1
CENPK,CKAP5
CENPK,SEH1L
CENPK,NUF2
CENPK,INCENP
CENPK,AURKA
CENPK,CCNB2
CENPK,CKAP2L
CENPK,CDCA8
CENPK,CENPL
CENPK,PLK1
CENPK,CCNA2
CENPK,SHCBP1
CENPK,BUB1B
CENPK,CENPO
CENPK,MIS18BP1
MIS18BP1,CENPK
CENPK,SPC24
CENPK,RANGAP1
CENPK,KIF20B
CENPK,MAD2L1
BMI1,BAP1
ELP3,MCM5
MCM5,ELP3
ELP3,TBL3
ELP3,ELP2
ELP2,ELP3
ELP3,KAT7
ELP3,NOP2
ELP3,PWP2
ELP3,WDR75
MCM3,PBK
MCM2,PBK
RAD51,PBK
MCM5,PBK
MIS18BP1,PBK
ABL1,DOK2
POLR1B,DCAF13
ERCC8,DCAF13
MCM3,RAD21
RAD51,SHCBP1
MIS18BP1,SHCBP1
MCM4,RRM1
MCM4,MCM3
