Gene1,Gene2
E2F4,MYCN
E2F4,RAD51
EGR1,BIRC5
EGR1,CDKN1C
EGR1,ICAM1
EGR1,JUN
EGR1,LTB
EGR1,NDRG1
EGR1,TK1
EGR1,IL12A
EYA2,MTOR
HDAC2,NFKBIA
IRF8,ABL1
IRF8,IL12A
IRF9,IRF7
JUN,CSF1R
JUN,GCLC
JUN,ICAM1
JUN,KRT18
JUN,ODC1
MAPK1,EGR1
MYCN,HDAC2
MYCN,NDRG1
MYCN,PTDSS1
NDN,CDK1
NFAT5,BCL2
REL,IL12A
SATB1,BCL2
SLA2,CSF1R
SMARCA2,CCNA2
SMARCA2,CD44
STAT2,IRF7
ABL1,CISH
BTG2,ZFP36
CBFB,TIE1
CENPK,AURKB
CENPK,BIRC5
CENPK,BUB1B
CENPK,CCNA2
CENPK,CCNB1
CENPK,CDC20
CENPK,CDCA5
CENPK,CENPA
CENPK,CENPE
CENPK,CENPL
CENPK,CENPO
CENPK,CKAP2L
CENPK,KIF11
CENPK,MIS12
CENPK,MIS18BP1
CENPK,NCAPG
CENPK,NCAPG2
CENPK,NDE1
CENPK,NUP107
CENPK,NUP85
CENPK,NUSAP1
CENPK,PBK
CENPK,PRIM1
CENPK,RANGAP1
CENPK,SEH1L
CENPK,SHCBP1
CENPK,SPC24
CENPK,SPC25
CENPK,TPX2
CTR9,ELP2
CTR9,RUVBL2
DDX20,GEMIN5
DDX20,HDAC2
DDX20,NUP107
DDX20,NUP85
DDX20,NUP88
DDX20,PRMT5
DDX20,SEH1L
DDX20,STRAP
E2F4,CCNA2
E2F4,CDK1
E2F4,DHFR
E2F4,NDN
E2F4,TOP2A
EGR1,9530082P21RIK
EGR1,AHCYL1
EGR1,APLP2
EGR1,CBX5
EGR1,CLTC
EGR1,COL4A2
EGR1,CTSL
EGR1,D1ERTD622E
EGR1,FLT3
EGR1,H2-DMA
EGR1,HCFC1
EGR1,HSPA1A
EGR1,HSPH1
EGR1,KLF6
EGR1,LMAN2L
EGR1,MECOM
EGR1,MIS12
EGR1,OTUD4
EGR1,PIK3R1
EGR1,REL
EGR1,SESN1
EGR1,SLC25A38
EGR1,SLC37A1
EGR1,SOCS2
EGR1,STAG2
EGR1,TRP53I11
EGR1,USP11
EGR1,ZC3H7A
ERCC8,DCAF13
ERCC8,POLD1
ERCC8,POLR2B
ERCC8,XPC
GATA2,ALDH18A1
GATA2,CENPL
GATA2,DNAJC9
GATA2,DUSP1
GATA2,FCGR2B
GATA2,HDAC7
GATA2,HLF
GATA2,JUN
GATA2,NADK
GATA2,SNRNP200
GATA2,TCP11L2
GFI1B,HDAC2
GFI1B,RCOR1
GTF2F1,CSTF2
GTF2F1,EFTUD2
GTF2F1,POLR2B
GTF2F1,PRPF4
GTF2F1,SF3B3
GTF2F1,SNRNP200
H1F0,CDK1
HCFC1,CDK1
HCFC1,NDN
HDAC2,CBX5
HDAC2,DDX20
HDAC2,GFI1B
HDAC2,H2AFX
HDAC2,HDAC7
HDAC2,MECOM
HDAC2,SMARCA2
HDAC7,CBX5
HDAC7,H2AFX
HDAC7,HDAC2
HDAC7,MAML3
HLF,GATA2
IRF7,CD44
IRF7,DDX60
IRF7,GBP3
IRF7,H2-AA
IRF7,ICAM1
IRF7,IFI44
IRF7,IGTP
IRF7,IIGP1
IRF7,IRF8
IRF7,IRF9
IRF7,OAS3
IRF7,OASL2
IRF7,RTP4
IRF7,UBA7
IRF7,XAF1
IRF8,CD44
IRF8,H2-AA
IRF8,ICAM1
IRF8,IRF7
IRF8,IRF9
IRF8,LY86
IRF8,OAS3
IRF9,CD44
IRF9,H2-AA
IRF9,ICAM1
IRF9,IGTP
IRF9,IRF8
IRF9,OAS3
IRF9,OASL2
IRF9,RTP4
IRF9,STAT2
JARID2,MORC3
JARID2,TRIM35
JUN,9530068E07RIK
JUN,ADK
JUN,ANXA3
JUN,ATP10A
JUN,BTG2
JUN,BTK
JUN,CAMK2D
JUN,CCL4
JUN,CCNA2
JUN,CERK
JUN,CTSL
JUN,EFTUD2
JUN,EGR1
JUN,EMILIN1
JUN,FGL2
JUN,GATA2
JUN,GOLPH3
JUN,GTF2F1
JUN,H2-DMA
JUN,HCFC1
JUN,IL12A
JUN,ITCH
JUN,LSP1
JUN,LY9
JUN,MAPK1
JUN,MFNG
JUN,MTCH2
JUN,NEDD1
JUN,PIM2
JUN,PPP1R15A
JUN,PROCR
JUN,PTGS1
JUN,PTPRS
JUN,RAB37
JUN,SCARF1
JUN,SHISA5
JUN,SLC20A1
JUN,SMARCA2
JUN,TLE2
JUN,TMEM33
JUN,TRAP1
JUN,WSB1
JUN,ZFP36
MAML3,HDAC7
MAPK1,IL12A
MCM2,ASF1B
MCM2,ATAD2
MCM2,AURKB
MCM2,BIRC5
MCM2,BUB1B
MCM2,CCNA2
MCM2,CCNB1
MCM2,CCNB2
MCM2,CDC20
MCM2,CDC45
MCM2,CDC7
MCM2,CDCA5
MCM2,CDCA7
MCM2,CDK1
MCM2,CDT1
MCM2,CENPA
MCM2,CENPE
MCM2,CKAP2
MCM2,CKS1B
MCM2,CKS2
MCM2,DNAJC9
MCM2,EMB
MCM2,FBXO5
MCM2,FIGNL1
MCM2,H2AFX
MCM2,KIF11
MCM2,KIF22
MCM2,LIG1
MCM2,MCM10
MCM2,MCM3
MCM2,MCM4
MCM2,MCM7
MCM2,MKI67
MCM2,MSH6
MCM2,NASP
MCM2,NCAPG
MCM2,NCAPG2
MCM2,NCAPH
MCM2,ORC2
MCM2,ORC6
MCM2,PBK
MCM2,POLA2
MCM2,POLD1
MCM2,POLE
MCM2,PRIM1
MCM2,PRIM2
MCM2,RACGAP1
MCM2,RPA1
MCM2,RPA2
MCM2,RRM1
MCM2,RRM2
MCM2,SHCBP1
MCM2,SLBP
MCM2,SPC25
MCM2,TIPIN
MCM2,TK1
MCM2,TOP2A
MCM2,TPX2
MCM2,TYMS
MCM2,UBE2C
MCM2,UHRF1
MCM3,ASF1B
MCM3,ATAD2
MCM3,AURKB
MCM3,BIRC5
MCM3,BUB1B
MCM3,CCNA2
MCM3,CCNB1
MCM3,CCNB2
MCM3,CDC20
MCM3,CDC45
MCM3,CDC7
MCM3,CDCA5
MCM3,CDCA7
MCM3,CDK1
MCM3,CDT1
MCM3,CENPA
MCM3,CKAP2
MCM3,CKS1B
MCM3,CKS2
MCM3,FBXO5
MCM3,FIGNL1
MCM3,H2AFX
MCM3,KIF11
MCM3,KIF20B
MCM3,KIF22
MCM3,LIG1
MCM3,MCM10
MCM3,MCM2
MCM3,MCM4
MCM3,MCM7
MCM3,MKI67
MCM3,MSH6
MCM3,NASP
MCM3,NCAPG
MCM3,NCAPG2
MCM3,NCAPH
MCM3,ORC2
MCM3,ORC6
MCM3,PBK
MCM3,POLA2
MCM3,POLD1
MCM3,POLE
MCM3,PRIM1
MCM3,PRIM2
MCM3,RACGAP1
MCM3,RPA1
MCM3,RPA2
MCM3,RRM1
MCM3,RRM2
MCM3,SHCBP1
MCM3,SLBP
MCM3,SPC25
MCM3,TIPIN
MCM3,TK1
MCM3,TOP2A
MCM3,TPX2
MCM3,TYMS
MCM3,UBE2C
MCM3,UHRF1
MCM4,ASF1B
MCM4,ATAD2
MCM4,AURKB
MCM4,BIRC5
MCM4,BUB1B
MCM4,CCNA2
MCM4,CCNB1
MCM4,CCNB2
MCM4,CDC20
MCM4,CDC45
MCM4,CDC7
MCM4,CDCA5
MCM4,CDCA7
MCM4,CDK1
MCM4,CDT1
MCM4,CKS1B
MCM4,CKS2
MCM4,CSE1L
MCM4,DNAJC9
MCM4,FBXO5
MCM4,FIGNL1
MCM4,KIF11
MCM4,KIF22
MCM4,LIG1
MCM4,MCM10
MCM4,MCM2
MCM4,MCM3
MCM4,MCM7
MCM4,MKI67
MCM4,MSH6
MCM4,NASP
MCM4,NCAPG
MCM4,NCAPG2
MCM4,NCAPH
MCM4,ORC2
MCM4,ORC6
MCM4,PBK
MCM4,POLA2
MCM4,POLD1
MCM4,POLE
MCM4,PRIM1
MCM4,PRIM2
MCM4,RACGAP1
MCM4,RPA1
MCM4,RPA2
MCM4,RRM1
MCM4,RRM2
MCM4,SHCBP1
MCM4,SLBP
MCM4,TIPIN
MCM4,TK1
MCM4,TOP2A
MCM4,TPX2
MCM4,TYMS
MCM4,UHRF1
MCM5,CDC45
MCM5,CDC7
MCM5,ORC2
MCM5,ORC6
MCM7,ASF1B
MCM7,AURKB
MCM7,BIRC5
MCM7,BUB1B
MCM7,CCNA2
