Gene1,Gene2
POLR2B,RPA1
MCM5,RPA1
GTF2H1,RPA1
MCM3,RPA1
MCM4,RPA1
MCM2,RPA1
MCM3,UHRF1
MCM5,UHRF1
MCM4,UHRF1
MCM2,UHRF1
MYCN,NDRG1
MCM3,MSH6
MCM4,MSH6
MCM2,MSH6
MCM5,MSH6
XPC,MSH6
MCM3,CDT1
MCM5,CDT1
MCM4,CDT1
MCM2,CDT1
GTF2H1,POLR2B
POLR2B,GTF2H1
GTF2H1,POLR1B
POLR1B,GTF2H1
GTF2H1,TAF12
TAF12,GTF2H1
GTF2H1,RFC4
GTF2H1,LIG1
GTF2H1,POLD1
GTF2H1,POLE3
GTF2H1,XPC
XPC,GTF2H1
GTF2H1,MLLT3
MLLT3,GTF2H1
GTF2H1,RFC5
MCM3,GMNN
MCM5,GMNN
MCM4,GMNN
MCM2,GMNN
GATA2,CBFB
CBFB,GATA2
REXO4,ADA
POLR1B,TRMT11
REXO4,TRMT11
POLR1B,PNO1
BTG2,ZFP36
ZFP36,BTG2
BTG2,JUN
JUN,BTG2
BTG2,DUSP1
MCM3,RRM2
MCM4,RRM2
MCM2,RRM2
MCM5,RRM2
POLR1B,FTSJ3
REXO4,FTSJ3
NFKBIA,ICAM1
NFKBIA,USP11
MCM4,DHFR
ABL1,DOK2
POLR1B,DCAF13
MCM4,RRM1
MCM4,MCM3
MCM3,MCM4
MCM4,PRIM1
MCM4,TOP2A
MCM4,TYMS
MCM4,RFC4
MCM4,MAD2L1
MCM4,MCM2
MCM2,MCM4
MCM4,NCAPD2
MCM4,LIG1
MCM4,TIPIN
MCM4,RFC5
MCM4,MCM5
MCM5,MCM4
MCM4,PRIM2
MCM4,CCNB2
MCM4,CDCA8
MCM4,ORC6
MCM4,HELLS
MCM4,POLD1
MCM4,POLE3
MCM4,CDC7
MCM3,RFC4
MCM2,RFC4
POLR2B,RFC4
MCM5,RFC4
ZFP36,DUSP1
JUN,DUSP1
TSC22D3,DUSP1
MCM3,HELLS
MCM2,HELLS
MCM5,HELLS
MCM3,PRIM1
MCM5,PRIM1
MCM2,PRIM1
IRF7,GBP3
IRF7,IRGM2
IRF7,IFI44
IRF7,GBP2
IRF7,DDX58
DDX58,IRF7
IRF7,STAT2
STAT2,IRF7
IRF7,GBP7
IRF7,IGTP
IRF7,IRF9
IRF9,IRF7
IRF7,UBA7
IRF7,RTP4
IRF7,OASL2
MCM3,TYMS
MCM2,TYMS
MCM5,TYMS
DDX58,CASP1
MCM3,PRIM2
MCM5,PRIM2
MCM2,PRIM2
IRF9,IFI44
DDX58,IFI44
STAT2,IFI44
MCM3,POLE3
POLR2B,POLE3
MCM5,POLE3
MCM2,POLE3
TAF12,POLR2B
POLR2B,TAF12
POLR2B,SETD2
POLR2B,LIG1
POLR2B,CSTF2
POLR2B,JUN
JUN,POLR2B
POLR2B,RFC5
POLR2B,WDR5
POLR2B,POLR1B
POLR1B,POLR2B
POLR2B,BC005561
POLR2B,POLD1
POLR2B,MLLT3
MLLT3,POLR2B
POLR2B,PRPF4
MCM3,CDC7
MCM2,CDC7
MCM5,CDC7
IRF9,OASL2
DDX58,OASL2
STAT2,OASL2
XPC,INO80D
XPC,USP11
XPC,POLD1
MCM3,RRM1
MCM2,RRM1
MCM5,RRM1
MCM3,MKI67
MCM2,MKI67
MCM5,MKI67
MCM3,ORC6
MCM5,ORC6
MCM2,ORC6
MCM3,CCNB2
MCM2,CCNB2
MCM5,CCNB2
MCM3,TIPIN
MCM5,TIPIN
MCM2,TIPIN
POLR1B,MARS
DDX58,ATG12
MCM3,POLD1
MCM2,POLD1
MCM5,POLD1
IRF9,RTP4
DDX58,RTP4
MCM3,NCAPD2
MCM5,NCAPD2
MCM2,NCAPD2
DDX58,XAF1
DDX58,IRF9
IRF9,DDX58
DDX58,UBE2L6
DDX58,STAT2
STAT2,DDX58
DDX58,TMEM173
DDX58,SAMD9L
POLR1B,NOP2
REXO4,NOP2
IRF9,IGTP
ABL1,PSTPIP1
MCM3,TOP2A
MCM3,MAD2L1
MCM3,MCM2
MCM2,MCM3
MCM3,LIG1
MCM3,RFC5
MCM3,MCM5
MCM5,MCM3
MCM3,CDCA8
CBFB,WDR5
CBFB,ABL1
ABL1,CBFB
MCM2,TOP2A
MCM2,MAD2L1
MCM2,LIG1
MCM2,RFC5
MCM2,MCM5
MCM5,MCM2
MCM2,CDCA8
MCM5,TOP2A
MCM5,RCC1
MCM5,CDCA8
STAT2,CISH
JUN,ICAM1
MCM5,RFC5
MCM5,MAD2L1
POLR1B,WDR4
POLR1B,TBL3
POLR1B,PUS7
STAT2,IRF9
IRF9,STAT2
STAT2,IRGM2
JUN,WDR5
IRF9,IRGM2
MCM5,LIG1
