Gene1,Gene2,Score
CBFB,MSH6,2386.0
CBFB,SLC2A3,1502.0
CBFB,ARID5A,1700.0
CBFB,TMEM229B,1785.0
CBFB,TIMM29,1667.0
CBFB,IDH1,1540.0
CBFB,OTUD6B,1505.0
CBFB,WDR5,1641.0
CBFB,NOP2,1401.0
CBFB,CLPTM1L,1319.0
CBFB,SEH1L,1380.0
CBFB,TES,1896.0
CBFB,DNAJC10,1166.0
CBFB,RANGAP1,1371.0
CBFB,ARL6IP6,1337.0
CBFB,IRF9,1298.0
CBFB,DCAF13,1211.0
CBFB,SPNS2,1482.0
CBFB,NFAT5,1118.0
CBFB,PPAT,1126.0
CBFB,PRKCH,1078.0
CBFB,MORC3,1068.0
CBFB,PGLYRP2,1575.0
CBFB,TACC3,1328.0
CBFB,TFR2,1464.0
CBFB,MIS12,1022.0
CBFB,FAM76B,1047.0
CBFB,NCEH1,1122.0
CBFB,CSTF2,1106.0
CBFB,RABGGTB,883.0
CBFB,GMFB,1137.0
CBFB,POLE3,1723.0
CBFB,EYA2,1293.0
CBFB,DUS1L,1358.0
CBFB,REXO4,1500.0
CBFB,POR,1404.0
CBFB,COLGALT1,1178.0
CBFB,MED16,1263.0
CBFB,FAR1,976.0
CBFB,1700017B05RIK,976.0
CBFB,GALNT6,1729.0
CBFB,GTF2H1,1221.0
CBFB,SERPINB9,857.0
CBFB,CSGALNACT2,1052.0
CBFB,PNO1,1169.0
CBFB,POLD1,926.0
CBFB,LONP2,947.0
CBFB,TESPA1,1492.0
CBFB,XPC,803.0
CBFB,MTMR6,1275.0
CBFB,ZDHHC6,1362.0
CBFB,KAT7,851.0
CBFB,METAP1,811.0
CBFB,TCP11L2,1006.0
CBFB,FGFR1OP,851.0
CBFB,ZFP24,754.0
CBFB,ST8SIA4,866.0
CBFB,PTDSS1,1004.0
CBFB,AHCYL1,917.0
CBFB,IPO9,675.0
CBFB,ATP8B4,719.0
CBFB,MCM4,1102.0
CBFB,GPR65,1112.0
CBFB,ITGAL,844.0
CBFB,MGAT5,731.0
CBFB,PRMT7,731.0
CBFB,MOGS,538.0
CBFB,MARS,976.0
CBFB,RFC4,730.0
CBFB,CUL3,717.0
CBFB,CDCA8,1054.0
CBFB,UBR7,901.0
CBFB,CDCA4,766.0
CBFB,DHRS3,698.0
CBFB,STAT2,648.0
CBFB,DUSP1,581.0
CBFB,TBL3,837.0
CBFB,OTULINL,847.0
CBFB,ITSN1,727.0
CBFB,HACD3,1012.0
CBFB,SHMT1,1026.0
CBFB,FAM136A,801.0
CBFB,SPNS3,570.0
CBFB,MTREX,905.0
CBFB,GLB1,671.0
CBFB,DOK2,844.0
CBFB,TMEM43,727.0
CBFB,PRODH,683.0
CBFB,PLD3,791.0
CBFB,PLIN3,553.0
CBFB,CTC1,607.0
CBFB,GBP3,886.0
CBFB,NFKBIA,555.0
CBFB,DENND1C,863.0
CBFB,KPNA3,679.0
CBFB,RRM1,796.0
CBFB,KCTD12,652.0
CBFB,USP37,1327.0
CBFB,BCL2,678.0
CBFB,ABCB8,572.0
CBFB,AKAP8L,683.0
CBFB,NCAPD2,668.0
CBFB,FOXRED1,743.0
CBFB,DEF8,914.0
CBFB,SETD2,701.0
CBFB,RARS,794.0
CBFB,TPM4,1390.0
CBFB,ZDHHC13,697.0
CBFB,TUBGCP2,643.0
