Gene1,Gene2
IRF8,ABL1
IRF8,IL12A
IRF9,IRF7
JUN,ICAM1
JUN,KRT18
MYCN,NDRG1
MYCN,PTDSS1
NFAT5,BCL2
STAT2,IRF7
ABL1,CISH
BTG2,ZFP36
CBFB,TIE1
GATA2,DUSP1
GATA2,FCGR2B
GATA2,HLF
GATA2,JUN
GATA2,NADK
GATA2,TCP11L2
HLF,GATA2
IRF7,GBP3
IRF7,H2-AA
IRF7,ICAM1
IRF7,IFI44
IRF7,IGTP
IRF7,IIGP1
IRF7,IRF8
IRF7,IRF9
IRF7,OASL2
IRF7,RTP4
IRF7,UBA7
IRF7,XAF1
IRF8,H2-AA
IRF8,ICAM1
IRF8,IRF7
IRF8,IRF9
IRF9,H2-AA
IRF9,ICAM1
IRF9,IGTP
IRF9,IRF8
IRF9,OASL2
IRF9,RTP4
IRF9,STAT2
JUN,ANXA3
JUN,BTG2
JUN,BTK
JUN,CCL4
JUN,CERK
JUN,CTSL
JUN,EMILIN1
JUN,FGL2
JUN,GATA2
JUN,GOLPH3
JUN,IL12A
JUN,MFNG
JUN,PIM2
JUN,PPP1R15A
JUN,PROCR
JUN,PTGS1
JUN,RAB37
JUN,SCARF1
JUN,ZFP36
MCM2,CCNB2
MCM2,CDC7
MCM2,CDT1
MCM2,LIG1
MCM2,MCM3
MCM2,MCM4
MCM2,MKI67
MCM2,MSH6
MCM2,ORC6
MCM2,POLD1
MCM2,PRIM1
MCM2,PRIM2
MCM2,RPA1
MCM2,RRM1
MCM2,RRM2
MCM2,TIPIN
MCM2,TOP2A
MCM2,TYMS
MCM2,UHRF1
MCM3,CCNB2
MCM3,CDC7
MCM3,CDT1
MCM3,LIG1
MCM3,MCM2
MCM3,MCM4
MCM3,MKI67
MCM3,MSH6
MCM3,ORC6
MCM3,POLD1
MCM3,PRIM1
MCM3,PRIM2
MCM3,RPA1
MCM3,RRM1
MCM3,RRM2
MCM3,TIPIN
MCM3,TOP2A
MCM3,TYMS
MCM3,UHRF1
MCM4,CCNB2
MCM4,CDC7
MCM4,CDT1
MCM4,LIG1
MCM4,MCM2
MCM4,MCM3
MCM4,MKI67
MCM4,MSH6
MCM4,ORC6
MCM4,POLD1
MCM4,PRIM1
MCM4,PRIM2
MCM4,RPA1
MCM4,RRM1
MCM4,RRM2
MCM4,TIPIN
MCM4,TOP2A
MCM4,TYMS
MCM4,UHRF1
MCM5,CDC7
MCM5,ORC6
MYCN,ACOX1
MYCN,ADO
MYCN,ATF7
MYCN,BTK
MYCN,CBX7
MYCN,CDT1
MYCN,CHRNB1
MYCN,CTSF
MYCN,CTSL
MYCN,DCAF13
MYCN,DENND2D
MYCN,DPP8
MYCN,FAM76B
MYCN,FGFR1OP
MYCN,GLB1
MYCN,GMFB
MYCN,GTF2H1
MYCN,HEXA
MYCN,IARS
MYCN,ICAM1
MYCN,ITSN1
MYCN,LAP3
MYCN,LIG1
MYCN,LONP1
MYCN,MCM2
MYCN,ME2
MYCN,METAP1
MYCN,MFSD1
MYCN,MYO5A
MYCN,NADK
MYCN,NFKBIA
MYCN,NOP2
MYCN,NUDT19
MYCN,OSBPL1A
MYCN,PNO1
MYCN,POLR1B
MYCN,PPAT
MYCN,PRMT7
MYCN,PRODH
MYCN,PUS7
MYCN,RANGAP1
MYCN,RCC1
MYCN,RHOF
MYCN,SEH1L
MYCN,SGMS1
MYCN,SHMT1
MYCN,SLC19A1
MYCN,STT3B
MYCN,TAF12
MYCN,TARS
MYCN,TMEM97
MYCN,TNFRSF21
MYCN,TOPORS
MYCN,TRMT11
MYCN,TYMS
MYCN,UHRF1
MYCN,VPS16
MYCN,WDR4
MYCN,WDR5
MYCN,WDR55
MYCN,ZFP451
MYCN,ZNRF2
NDN,MAGED1
NFKBIA,ICAM1
POLR1B,FTSJ3
POLR1B,NOP2
POLR1B,PNO1
POLR2B,CSTF2
POLR2B,PRPF4
STAT2,CISH
STAT2,IRF9
STAT2,ZFP36
XPC,POLD1
XPC,RPA1
ZFP36,BTG2
ZFP36,DUSP1
ZFP36,STAT2
