Gene1	Gene2	EdgeWeight
NUDT11	ENTPD5	1
H2AFX	FEZ1	1
HSP90B1	ATP6AP1	1
STAP1	PFN2	1
SRGAP3	PIF1	1
WDR43	TRIM12A	1
ZFP449	TVP23B	1
NUDT16	CD55	1
OAS1B	PATL2	1
ZFP65	TRP53INP1	1
ZFP995	UHRF1	1
A430110C17RIK	KIF16B	1
PLS3	CXCL12	1
ATP5G3	PDCL	1
OSBPL5	GM37909	1
RASA4	SNHG14	1
RCN1	PLA2G4A	1
BHLHA15	SLC9A6	1
SNAI3	ASH1L	1
DMTF1	FAH	1
GM12250	ZFP189	1
EZH1	PCMTD2	1
PLEKHB2	GM18407	1
AEBP1	TMEM71	1
TTC39B	ETF1	1
FAM135A	ZEB2	1
ZSCAN18	FKBP10	1
GOLPH3	ASB13	1
NUAK2	CKB	1
HSPA9	CSTF2	1
WDR6	KCNH7	1
HDAC6	ZFYVE16	1
SMOC1	FAM129A	1
MSANTD4	CAT	1
NCKAP1L	TPX2	1
CDCA4	ADAM8	1
GM43361	NFAM1	1
MED16	LYZ2	1
ABCG4	ZFP558	1
FGF13	MTMR6	1
RFC5	PHF21B	1
GPX3	ARMT1	1
HDX	GM17034	1
SERPINE2	TGFBR2	1
AKAIN1	CD300A	1
KPNA3	IL15	1
VAV3	TBC1D8B	1
IGKV1-135	ZFP11	1
ARHGAP18	PPP1R16B	1
ZFP654	NAP1L2	1
PFKM	MDFIC	1
NR3C2	IL31RA	1
ZFP846	SLC12A2	1
ZBTB42	PQLC1	1
KCTD20	MKI67	1
DDX58	VPREB2	1
MS4A1	NAP1L2	1
MIGA2	ZFP65	1
MBOAT2	TMEM18	1
TBC1D4	MFSD14B	1
ATAD2	ZFP879	1
CD93	LMCD1	1
ECE1	BIN2	1
IPO13	GAB1	1
GLIPR2	PICK1	1
ZBED4-PS1	CDC45	1
DDX1	PALLD	1
ZHX3	UPP1	1
FSD1L	GPD2	1
SPTB	SMYD5	1
FGF13	MIEF1	1
RLF	RNF227	1
RAB11FIP4	LGALSL	1
ZFP111	REPIN1	1
SUSD1	FBXW11	1
TMEM44	GPR160	1
ZDHHC15	DHFR	1
MARS	TRIM5	1
GPT2	RAB11FIP3	1
ZFP229	IRF6	1
CCNG2	RSBN1L	1
HEATR5B	TMEM186	1
CIITA	SLC22A18	1
ZFP595	SLFN5	1
TSPOAP1	SLC22A21	1
STIL	GM43570	1
SLC40A1	GM16231	1
KLRK1	RALGDS	1
CEP68	AKNA	1
GARS	GM26740	1
RFX8	HSPA4L	1
PPIL4	PRNP	1
D3ERTD254E	SLC25A44	1
SPTLC1	NEO1	1
METAP1	PAQR5	1
4930431P03RIK	SPTLC1	1
PFKFB3	ZBED4-PS1	1
SLC41A1	RNF146	1
BAIAP3	B4GALT4	1
HBA-A2	PARP12	1
PLIN3	GBP4	1
HACD3	PROS1	1
SYTL1	CRPPA	1
AURKB	JRK	1
P4HA1	ZFP467	1
ANAPC2	D1ERTD622E	1
MKS1	GM40309	1
FAM160B1	KIF13A	1
KLHL21	STX2	1
GM36930	COA5	1
GM37186	CD101	1
IRGM1	SLC43A2	1
VAMP1	SNX33	1
NDN	IGLV1	1
HIST1H2BC	METTL27	1
PARM1	MAP3K19	1
TTC30B	HSPE1	1
KDM8	NDRG1	1
GMCL1	PTPN22	1
MLPH	GPR15	1
LRRN3	FCGRT	1
ABRAXAS2	GPD2	1
PIK3C3	CYP39A1	1
NPLOC4	TAS1R1	1
RGS1	SLCO3A1	1
ETFBKMT	SYNJ2	1
RRM1	ZFP715	1
MYCN	SLC20A1	1
MIPOL1	TEAD3	1
DNAJC28	ZFP654	1
ZFP367	SLC31A1	1
EPAS1	RUNX1T1	1
POLR1B	MYO1D	1
CORO1A	EDN3	1
ZFP146	2810428J06RIK	1
GIMAP5	SLC6A3	1
TRIM35	GM43769	1
TXN2	AI987944	1
GM12289	SLC5A6	1
IL6ST	GIMAP1OS	1
CENPK	GM19391	1
VPS35	UBE2E2	1
PDZPH1	SNX13	1
DHX33	F2RL2	1
PDK2	SLC41A3	1
GDI1	8430419K02RIK	1
GFI1B	GBP10	1
LCP2	SLC39A8	1
PRCP	F630028O10RIK	1
FCGR2B	ZFP869	1
ZFP605	GM28154	1
ZFP60	FMR1NB	1
NDFIP2	LRP11	1
HCK	SEH1L	1
D930028M14RIK	BEST1	1
TKTL1	PQLC3	1
CD84	CHRNB4	1
BMF	ZFP930	1
MYLIP	WDR7	1
SETMAR	PRKD3	1
MGST2	GASK1A	1
SOD1	PRSS30	1
PCCA	CLPTM1L	1
MICAL1	MBLAC2	1
FZR1	DGLUCY	1
ITPKC	ADSSL1	1
GM9903	TTC30B	1
RAB3IL1	CDK18	1
GSTO2	ACVR1	1
DENND1C	SLC17A9	1
ZYX	FRMD4B	1
PYGB	COX6B1	1
SAMD10	ADPRM	1
ZFP953	TMEM241	1
ZFP451	ERLIN2	1
MBTPS2	RTEL1	1
RASSF5	GAB1	1
ZFP354A	9630010A21RIK	1
OSGIN2	ENOX2	1
BMP7	GRAMD1C	1
KLF10	MTMR14	1
SLC16A1	ACVR1	1
IL7	TRPM5	1
CIPC	SYCE1	1
MFSD4B4	TTC39C	1
APLP2	COPG2	1
JCHAIN	STEAP3	1
RAB6B	SLC19A1	1
E2F8	D130040H23RIK	1
MOB3C	CD300LD	1
TMBIM1	GM8369	1
SAMHD1	AFF3	1
CD52	ANO7	1
TTC17	TRIM68	1
FBXO5	BBS2	1
UBASH3A	PHETA2	1
LPIN2	TRPM5	1
TMEM125	GM37968	1
METTL8	GM4956	1
UPRT	TBC1D20	1
PIAS3	CSF2RB2	1
TBC1D24	STRN3	1
ZFP397	GPR180	1
MEF2C	TMEM106B	1
ERRFI1	DOK2	1
EDN3	CDC25B	1
PRR5L	ICE1	1
MR1	DMTN	1
CD53	EIF2S1	1
ZFP607B	PGM1	1
SLCO3A1	ZFP65	1
PTGR1	COL4A2	1
SLC30A4	GSN	1
ZFP575	PAPSS1	1
GM10800	PXYLP1	1
TEK	6720489N17RIK	1
C130089K02RIK	ZFP975	1
BST1	HCRTR1	1
RHPN1	AKAP12	1
EHHADH	IL1RL2	1
PPAT	CD68	1
PIMREG	OCIAD2	1
D930016D06RIK	HSP90B1	1
GM42638	GPR21	1
GM17590	ZFP429	1
FHL4	GM26510	1
DLL4	H1F0	1
CCL4	FILIP1L	1
NCAPG	GABBR1	1
KCNG1	ABR	1
PBX3	HPN	1
CNP	NPR2	1
ZFP746	ZFP933	1
PPBP	CIPC	1
SLC31A1	PIM2	1
URB2	ZFP867	1
IL1RL2	GRINA	1
IGLC1	S100A9	1
PRKCB	HSPA4L	1
CSF2	GM15448	1
SRC	RNF24	1
GHR	CDC25B	1
NPC1	4930563E22RIK	1
FAM234A	ANO6	1
ZFP712	THRB	1
MOB3C	LMAN2L	1
HDAC2	ARHGEF6	1
PLIN3	HEATR5A	1
ARHGAP19	RARS	1
MINDY1	FBP1	1
GRAMD1A	COX4I1	1
PYGB	WDR45B	1
SCIN	MTFR1	1
AB124611	CSF2RB	1
MTAP	GJB3	1
P2RY6	AI597479	1
SLC22A18	JMY	1
CYB5R1	PLEKHB1	1
SLC25A24	PXK	1
SIPA1L2	FAM185A	1
DAPP1	THTPA	1
ZFP521	ZFP951	1
INHBA	TXNDC5	1
N4BP2L1	KLHL8	1
HLTF	PHC1	1
HMBS	THSD1	1
HAT1	RSKR	1
TSC22D3	TRO	1
ZFP945	DRAM2	1
SLC23A2	TES	1
CATSPERG1	TBC1D25	1
RTP4	CKS1B	1
GMPR	MRVI1	1
ERAP1	ZKSCAN8	1
CCDC155	BAIAP3	1
ST6GALNAC4	PPM1M	1
HRH4	PPIL4	1
AHCYL1	LAMP2	1
BTG1	STK38	1
HNF1B	SGPP1	1
NSD2	RABIF	1
KIF18A	IGHV1-74	1
ADGRD1	OCLN	1
NIPAL2	ERAP1	1
CHKA	DYNC1I1	1
PDGFB	9330198I05RIK	1
MAN1A	VAMP5	1
OSBPL1A	P2RY10	1
PFAS	PORCN	1
PHKB	USP22	1
LONP2	TSPO2	1
CDCA8	FHL2	1
CRLF3	SLC34A2	1
SLC35A1	AI854703	1
MTFR1	SPTLC1	1
RSAD1	BC055308	1
ALDH6A1	MGAT5	1
SDF2L1	TRIM36	1
ATP13A1	TMEM8	1
DBNDD1	RASA3	1
GM17354	BHLHB9	1
TEAD3	NT5C2	1
PNCK	SHISA8	1
SBF2	ZFP141	1
ZFP92	EPB42	1
RNF141	INSRR	1
DYNC1I1	ZFP382	1
5430403G16RIK	OAS1G	1
AAK1	TCAF1	1
ZC4H2	SNCAIP	1
TMEM246	PON3	1
MESD	SLA2	1
DPY19L1	DDIAS	1
EAF1	ZFP930	1
CNN3	TMEM186	1
ZFP583	ID2	1
MORC3	KDF1	1
GM37320	ZFP346	1
GPD1L	P2RY14	1
SS18L1	AC149090.1	1
